"Plot Title: Schafhof"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177318, SEN S/N: 10177318)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177318)"
1,10/26/18 11:15:00 AM,14.325,0.0
2,10/26/18 11:20:00 AM,,0.0
3,10/26/18 11:25:00 AM,,0.0
4,10/26/18 11:30:00 AM,,0.0
5,10/26/18 11:35:00 AM,,0.0
6,10/26/18 11:40:00 AM,,0.0
7,10/26/18 11:45:00 AM,11.431,0.0
8,10/26/18 11:50:00 AM,,0.0
9,10/26/18 11:55:00 AM,,0.0
10,10/26/18 12:00:00 PM,,0.0
11,10/26/18 12:05:00 PM,,0.0
12,10/26/18 12:10:00 PM,,0.0
13,10/26/18 12:15:00 PM,12.207,0.0
14,10/26/18 12:20:00 PM,,0.0
15,10/26/18 12:25:00 PM,,0.0
16,10/26/18 12:30:00 PM,,0.0
17,10/26/18 12:35:00 PM,,0.0
18,10/26/18 12:40:00 PM,,0.0
19,10/26/18 12:45:00 PM,12.594,0.0
20,10/26/18 12:50:00 PM,,0.0
21,10/26/18 12:55:00 PM,,0.0
22,10/26/18 01:00:00 PM,,0.0
23,10/26/18 01:05:00 PM,,0.0
24,10/26/18 01:10:00 PM,,0.0
25,10/26/18 01:15:00 PM,12.013,0.0
26,10/26/18 01:20:00 PM,,0.0
27,10/26/18 01:25:00 PM,,0.0
28,10/26/18 01:30:00 PM,,0.0
29,10/26/18 01:35:00 PM,,0.0
30,10/26/18 01:40:00 PM,,0.0
31,10/26/18 01:45:00 PM,11.236,0.0
32,10/26/18 01:50:00 PM,,0.0
33,10/26/18 01:55:00 PM,,0.0
34,10/26/18 02:00:00 PM,,0.0
35,10/26/18 02:05:00 PM,,0.0
36,10/26/18 02:10:00 PM,,0.0
37,10/26/18 02:15:00 PM,11.236,0.0
38,10/26/18 02:20:00 PM,,0.0
39,10/26/18 02:25:00 PM,,0.0
40,10/26/18 02:30:00 PM,,0.0
41,10/26/18 02:35:00 PM,,0.0
42,10/26/18 02:40:00 PM,,0.0
43,10/26/18 02:45:00 PM,11.041,0.0
44,10/26/18 02:50:00 PM,,0.0
45,10/26/18 02:55:00 PM,,0.0
46,10/26/18 03:00:00 PM,,0.0
47,10/26/18 03:05:00 PM,,0.0
48,10/26/18 03:10:00 PM,,0.0
49,10/26/18 03:15:00 PM,11.041,0.0
50,10/26/18 03:20:00 PM,,0.0
51,10/26/18 03:25:00 PM,,0.0
52,10/26/18 03:30:00 PM,,0.0
53,10/26/18 03:35:00 PM,,0.0
54,10/26/18 03:40:00 PM,,0.0
55,10/26/18 03:45:00 PM,10.161,0.0
56,10/26/18 03:50:00 PM,,0.0
57,10/26/18 03:55:00 PM,,0.0
58,10/26/18 04:00:00 PM,,0.0
59,10/26/18 04:05:00 PM,,0.0
60,10/26/18 04:10:00 PM,,0.0
61,10/26/18 04:15:00 PM,9.373,0.0
62,10/26/18 04:20:00 PM,,0.0
63,10/26/18 04:25:00 PM,,0.0
64,10/26/18 04:30:00 PM,,0.0
65,10/26/18 04:35:00 PM,,0.0
66,10/26/18 04:40:00 PM,,0.0
67,10/26/18 04:45:00 PM,8.879,0.0
68,10/26/18 04:50:00 PM,,0.0
69,10/26/18 04:55:00 PM,,0.0
70,10/26/18 05:00:00 PM,,0.0
71,10/26/18 05:05:00 PM,,0.0
72,10/26/18 05:10:00 PM,,0.0
73,10/26/18 05:15:00 PM,8.481,0.0
74,10/26/18 05:20:00 PM,,0.0
75,10/26/18 05:25:00 PM,,0.0
76,10/26/18 05:30:00 PM,,0.0
77,10/26/18 05:35:00 PM,,0.0
