"Plot Title: Schwabenquelle"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10806052, SEN S/N: 10806052)","Cum. Sum: Niederschlag, units (LGR S/N: 10806052)","Coupler Detached (LGR S/N: 10806052)","Coupler Attached (LGR S/N: 10806052)","Host Connected (LGR S/N: 10806052)","End Of File (LGR S/N: 10806052)"
1,12/13/18 09:55:00 AM,,0.00,,,,
2,12/13/18 09:55:29 AM,6.166,,,,,
3,12/13/18 09:55:36 AM,,,Logged,,,
4,12/13/18 10:00:00 AM,,0.00,,,,
5,12/13/18 10:05:00 AM,,0.00,,,,
6,12/13/18 10:10:00 AM,,0.00,,,,
7,12/13/18 10:15:00 AM,,0.00,,,,
8,12/13/18 10:20:00 AM,,0.00,,,,
9,12/13/18 10:25:00 AM,,0.00,,,,
10,12/13/18 10:25:29 AM,-3.911,,,,,
11,12/13/18 10:30:00 AM,,0.00,,,,
12,12/13/18 10:35:00 AM,,0.00,,,,
13,12/13/18 10:40:00 AM,,0.00,,,,
14,12/13/18 10:45:00 AM,,0.00,,,,
15,12/13/18 10:50:00 AM,,0.00,,,,
16,12/13/18 10:55:00 AM,,0.00,,,,
17,12/13/18 10:55:29 AM,-4.152,,,,,
18,12/13/18 11:00:00 AM,,0.00,,,,
19,12/13/18 11:05:00 AM,,0.00,,,,
20,12/13/18 11:10:00 AM,,0.00,,,,
21,12/13/18 11:15:00 AM,,0.00,,,,
22,12/13/18 11:20:00 AM,,0.00,,,,
23,12/13/18 11:25:00 AM,,0.00,,,,
24,12/13/18 11:25:29 AM,-4.152,,,,,
25,12/13/18 11:30:00 AM,,0.00,,,,
26,12/13/18 11:35:00 AM,,0.00,,,,
27,12/13/18 11:40:00 AM,,0.00,,,,
28,12/13/18 11:45:00 AM,,0.00,,,,
29,12/13/18 11:50:00 AM,,0.00,,,,
30,12/13/18 11:55:00 AM,,0.00,,,,
31,12/13/18 11:55:29 AM,-4.272,,,,,
32,12/13/18 12:00:00 PM,,0.00,,,,
33,12/13/18 12:05:00 PM,,0.00,,,,
34,12/13/18 12:10:00 PM,,0.00,,,,
35,12/13/18 12:15:00 PM,,0.00,,,,
36,12/13/18 12:20:00 PM,,0.00,,,,
37,12/13/18 12:25:00 PM,,0.00,,,,
38,12/13/18 12:25:29 PM,-4.031,,,,,
39,12/13/18 12:30:00 PM,,0.00,,,,
40,12/13/18 12:35:00 PM,,0.00,,,,
41,12/13/18 12:40:00 PM,,0.00,,,,
42,12/13/18 12:45:00 PM,,0.00,,,,
43,12/13/18 12:50:00 PM,,0.00,,,,
44,12/13/18 12:55:00 PM,,0.00,,,,
45,12/13/18 12:55:29 PM,-3.911,,,,,
46,12/13/18 01:00:00 PM,,0.00,,,,
47,12/13/18 01:05:00 PM,,0.00,,,,
48,12/13/18 01:10:00 PM,,0.00,,,,
49,12/13/18 01:15:00 PM,,0.00,,,,
50,12/13/18 01:20:00 PM,,0.00,,,,
51,12/13/18 01:25:00 PM,,0.00,,,,
