"Plot Title: Hundseck"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703)","Cum. Sum: Niederschlag, units (LGR S/N: 10692703)","Coupler Attached (LGR S/N: 10692703)","Host Connected (LGR S/N: 10692703)","End Of File (LGR S/N: 10692703)"
1,07/09/19 09:55:00 AM,23.100,0.00,,,
2,07/09/19 10:00:00 AM,19.567,0.00,,,
3,07/09/19 10:05:00 AM,18.426,0.00,,,
4,07/09/19 10:10:00 AM,17.475,0.00,,,
5,07/09/19 10:15:00 AM,16.903,0.00,,,
6,07/09/19 10:20:00 AM,16.618,0.00,,,
7,07/09/19 10:25:00 AM,16.523,0.00,,,
8,07/09/19 10:30:00 AM,17.189,0.00,,,
9,07/09/19 10:35:00 AM,17.475,0.00,,,
10,07/09/19 10:40:00 AM,16.903,0.00,,,
11,07/09/19 10:45:00 AM,16.046,0.00,,,
12,07/09/19 10:50:00 AM,16.713,0.00,,,
13,07/09/19 10:55:00 AM,17.570,0.00,,,
14,07/09/19 11:00:00 AM,17.189,0.00,,,
15,07/09/19 11:05:00 AM,17.094,0.00,,,
16,07/09/19 11:10:00 AM,17.855,0.00,,,
17,07/09/19 11:15:00 AM,17.855,0.00,,,
18,07/09/19 11:20:00 AM,17.665,0.00,,,
19,07/09/19 11:25:00 AM,18.426,0.00,,,
20,07/09/19 11:30:00 AM,18.806,0.00,,,
21,07/09/19 11:35:00 AM,19.282,0.00,,,
22,07/09/19 11:40:00 AM,18.806,0.00,,,
23,07/09/19 11:45:00 AM,18.045,0.00,,,
24,07/09/19 11:50:00 AM,18.521,0.00,,,
25,07/09/19 11:55:00 AM,18.521,0.00,,,
26,07/09/19 12:00:00 PM,18.806,0.00,,,
27,07/09/19 12:05:00 PM,19.187,0.00,,,
28,07/09/19 12:10:00 PM,19.187,0.00,,,
29,07/09/19 12:15:00 PM,18.806,0.00,,,
30,07/09/19 12:20:00 PM,19.472,0.00,,,
31,07/09/19 12:25:00 PM,20.043,0.00,,,
32,07/09/19 12:30:00 PM,19.758,0.00,,,
33,07/09/19 12:35:00 PM,19.472,0.00,,,
34,07/09/19 12:40:00 PM,19.662,0.00,,,
35,07/09/19 12:45:00 PM,19.567,0.00,,,
36,07/09/19 12:50:00 PM,19.948,0.00,,,
37,07/09/19 12:55:00 PM,20.138,0.00,,,
38,07/09/19 01:00:00 PM,19.853,0.00,,,
39,07/09/19 01:05:00 PM,20.138,0.00,,,
40,07/09/19 01:10:00 PM,20.234,0.00,,,
41,07/09/19 01:15:00 PM,19.853,0.00,,,
42,07/09/19 01:20:00 PM,19.567,0.00,,,
43,07/09/19 01:25:00 PM,19.187,0.00,,,
44,07/09/19 01:30:00 PM,18.426,0.00,,,
45,07/09/19 01:35:00 PM,18.901,0.00,,,
46,07/09/19 01:40:00 PM,19.092,0.00,,,
47,07/09/19 01:45:00 PM,18.806,0.00,,,
48,07/09/19 01:50:00 PM,18.901,0.00,,,
49,07/09/19 01:55:00 PM,19.092,0.00,,,
50,07/09/19 02:00:00 PM,19.377,0.00,,,
51,07/09/19 02:05:00 PM,18.996,0.00,,,
