"Plot Title: Winterberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177315, SEN S/N: 10177315)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177315)","Coupler Attached (LGR S/N: 10177315)","Host Connected (LGR S/N: 10177315)","End Of File (LGR S/N: 10177315)"
1,05/03/19 07:50:00 AM,9.965,0.0,,,
2,05/03/19 07:55:00 AM,8.879,0.0,,,
3,05/03/19 08:00:00 AM,8.282,0.0,,,
4,05/03/19 08:05:00 AM,8.082,0.0,,,
5,05/03/19 08:10:00 AM,8.082,0.0,,,
6,05/03/19 08:15:00 AM,8.082,0.0,,,
7,05/03/19 08:20:00 AM,8.082,0.0,,,
8,05/03/19 08:25:00 AM,8.282,0.0,,,
9,05/03/19 08:30:00 AM,8.382,0.0,,,
10,05/03/19 08:35:00 AM,8.581,0.0,,,
11,05/03/19 08:40:00 AM,8.680,0.0,,,
12,05/03/19 08:45:00 AM,8.879,0.0,,,
13,05/03/19 08:50:00 AM,8.978,0.0,,,
14,05/03/19 08:55:00 AM,9.077,0.0,,,
15,05/03/19 09:00:00 AM,9.176,0.0,,,
16,05/03/19 09:05:00 AM,9.373,0.0,,,
17,05/03/19 09:10:00 AM,9.472,0.0,,,
18,05/03/19 09:15:00 AM,9.669,0.0,,,
19,05/03/19 09:20:00 AM,9.965,0.0,,,
20,05/03/19 09:25:00 AM,10.161,0.0,,,
21,05/03/19 09:30:00 AM,10.259,0.0,,,
22,05/03/19 09:35:00 AM,10.455,0.0,,,
23,05/03/19 09:40:00 AM,11.041,0.0,,,
24,05/03/19 09:45:00 AM,11.431,0.0,,,
25,05/03/19 09:50:00 AM,11.625,0.0,,,
26,05/03/19 09:55:00 AM,11.722,0.0,,,
27,05/03/19 10:00:00 AM,12.013,0.0,,,
28,05/03/19 10:05:00 AM,12.110,0.0,,,
29,05/03/19 10:10:00 AM,12.690,0.0,,,
30,05/03/19 10:15:00 AM,12.594,0.0,,,
31,05/03/19 10:20:00 AM,12.497,0.0,,,
32,05/03/19 10:25:00 AM,12.497,0.0,,,
33,05/03/19 10:30:00 AM,12.980,0.0,,,
34,05/03/19 10:35:00 AM,13.654,0.0,,,
35,05/03/19 10:40:00 AM,13.942,0.0,,,
36,05/03/19 10:45:00 AM,14.613,0.0,,,
37,05/03/19 10:50:00 AM,15.091,0.0,,,
38,05/03/19 10:55:00 AM,15.378,0.0,,,
39,05/03/19 11:00:00 AM,15.378,0.0,,,
40,05/03/19 11:05:00 AM,14.709,0.0,,,
41,05/03/19 11:10:00 AM,14.038,0.0,,,
42,05/03/19 11:15:00 AM,13.846,0.0,,,
43,05/03/19 11:20:00 AM,14.134,0.0,,,
44,05/03/19 11:25:00 AM,14.517,0.0,,,
45,05/03/19 11:30:00 AM,14.134,0.0,,,
46,05/03/19 11:35:00 AM,14.230,0.0,,,
47,05/03/19 11:40:00 AM,14.038,0.0,,,
48,05/03/19 11:45:00 AM,13.558,0.0,,,
49,05/03/19 11:50:00 AM,14.134,0.0,,,
50,05/03/19 11:55:00 AM,13.942,0.0,,,
51,05/03/19 12:00:00 PM,13.558,0.0,,,
52,05/03/19 12:05:00 PM,13.365,0.0,,,
53,05/03/19 12:10:00 PM,13.365,0.0,,,
54,05/03/19 12:15:00 PM,13.942,0.0,,,
55,05/03/19 12:20:00 PM,14.038,0.0,,,
56,05/03/19 12:25:00 PM,14.038,0.0,,,
57,05/03/19 12:30:00 PM,13.942,0.0,,,
58,05/03/19 12:35:00 PM,13.750,0.0,,,
59,05/03/19 12:40:00 PM,13.654,0.0,,,
60,05/03/19 12:45:00 PM,13.461,0.0,,,
61,05/03/19 12:50:00 PM,13.365,0.0,,,
62,05/03/19 12:55:00 PM,13.365,0.0,,,
63,05/03/19 01:00:00 PM,13.558,0.0,,,
64,05/03/19 01:05:00 PM,13.942,0.0,,,
65,05/03/19 01:10:00 PM,14.709,0.0,,,
66,05/03/19 01:15:00 PM,15.569,0.0,,,
67,05/03/19 01:20:00 PM,15.664,0.0,,,
68,05/03/19 01:25:00 PM,16.332,0.0,,,
69,05/03/19 01:30:00 PM,16.237,0.0,,,
70,05/03/19 01:35:00 PM,15.855,0.0,,,
71,05/03/19 01:40:00 PM,15.473,0.0,,,
72,05/03/19 01:45:00 PM,15.091,0.0,,,
73,05/03/19 01:50:00 PM,15.760,0.0,,,
74,05/03/19 01:55:00 PM,16.618,0.0,,,
75,05/03/19 02:00:00 PM,17.094,0.0,,,
