Plot Title: Hundseck,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692703, SEN S/N: 10692703)","Cum. Sum: Niederschlag, units (LGR S/N: 10692703)",Bad Battery (LGR S/N: 10692703),End Of File (LGR S/N: 10692703)
2,10/31/19 10:00:00 AM,5.655,0,,
3,10/31/19 10:05:00 AM,5.86,0,,
4,10/31/19 10:10:00 AM,6.064,0,,
5,10/31/19 10:15:00 AM,6.37,0,,
6,10/31/19 10:20:00 AM,5.962,0,,
7,10/31/19 10:25:00 AM,5.962,0,,
8,10/31/19 10:30:00 AM,6.064,0,,
9,10/31/19 10:35:00 AM,5.962,0,,
10,10/31/19 10:40:00 AM,5.962,0,,
11,10/31/19 10:45:00 AM,6.268,0,,
12,10/31/19 10:50:00 AM,6.37,0,,
13,10/31/19 10:55:00 AM,6.674,0,,
14,10/31/19 11:00:00 AM,6.877,0,,
15,10/31/19 11:05:00 AM,6.775,0,,
16,10/31/19 11:10:00 AM,6.775,0,,
17,10/31/19 11:15:00 AM,6.674,0,,
18,10/31/19 11:20:00 AM,6.471,0,,
19,10/31/19 11:25:00 AM,6.471,0,,
20,10/31/19 11:30:00 AM,6.37,0,,
21,10/31/19 11:35:00 AM,6.268,0,,
22,10/31/19 11:40:00 AM,6.166,0,,
23,10/31/19 11:45:00 AM,6.166,0,,
24,10/31/19 11:50:00 AM,6.268,0,,
25,10/31/19 11:55:00 AM,6.268,0,,
26,10/31/19 12:00:00 PM,6.268,0,,
27,10/31/19 12:05:00 PM,6.268,0,,
28,10/31/19 12:10:00 PM,6.064,0,,
29,10/31/19 12:15:00 PM,5.962,0,,
30,10/31/19 12:20:00 PM,5.962,0,,
31,10/31/19 12:25:00 PM,6.064,0,,
32,10/31/19 12:30:00 PM,6.064,0,,
33,10/31/19 12:35:00 PM,6.064,0,,
34,10/31/19 12:40:00 PM,6.166,0,,
35,10/31/19 12:45:00 PM,6.268,0,,
36,10/31/19 12:50:00 PM,6.268,0,,
37,10/31/19 12:55:00 PM,6.268,0,,
38,10/31/19 01:00:00 PM,6.166,0,,
39,10/31/19 01:05:00 PM,6.166,0,,
40,10/31/19 01:10:00 PM,6.166,0,,
41,10/31/19 01:15:00 PM,6.064,0,,
42,10/31/19 01:20:00 PM,5.962,0,,
43,10/31/19 01:25:00 PM,5.962,0,,
44,10/31/19 01:30:00 PM,6.064,0,,
45,10/31/19 01:35:00 PM,5.962,0,,
46,10/31/19 01:40:00 PM,5.962,0,,
47,10/31/19 01:45:00 PM,5.757,0,,
48,10/31/19 01:50:00 PM,5.655,0,,
49,10/31/19 01:55:00 PM,5.655,0,,
50,10/31/19 02:00:00 PM,5.552,0,,
51,10/31/19 02:05:00 PM,5.552,0,,
52,10/31/19 02:10:00 PM,5.45,0,,
53,10/31/19 02:15:00 PM,5.347,0,,
54,10/31/19 02:20:00 PM,5.244,0,,
55,10/31/19 02:25:00 PM,5.244,0,,
56,10/31/19 02:30:00 PM,5.244,0,,
57,10/31/19 02:35:00 PM,5.037,0,,
58,10/31/19 02:40:00 PM,4.934,0,,
59,10/31/19 02:45:00 PM,4.934,0,,
60,10/31/19 02:50:00 PM,4.831,0,,
61,10/31/19 02:55:00 PM,4.831,0,,
62,10/31/19 03:00:00 PM,4.831,0,,
63,10/31/19 03:05:00 PM,4.727,0,,
64,10/31/19 03:10:00 PM,4.623,0,,
65,10/31/19 03:15:00 PM,4.623,0,,
66,10/31/19 03:20:00 PM,4.519,0,,
67,10/31/19 03:25:00 PM,4.519,0,,
68,10/31/19 03:30:00 PM,4.519,0,,
69,10/31/19 03:35:00 PM,4.519,0,,
70,10/31/19 03:40:00 PM,4.519,0,,
71,10/31/19 03:45:00 PM,4.415,0,,
72,10/31/19 03:50:00 PM,4.415,0,,
73,10/31/19 03:55:00 PM,4.311,0,,
74,10/31/19 04:00:00 PM,4.207,0,,
75,10/31/19 04:05:00 PM,4.207,0,,
76,10/31/19 04:10:00 PM,4.207,0,,
77,10/31/19 04:15:00 PM,4.207,0,,
78,10/31/19 04:20:00 PM,4.207,0,,
