"Plot Title: Schönbrunn"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177316, SEN S/N: 10177316)","Cum. Sum: Niederschlag, units (LGR S/N: 10177316)","End Of File (LGR S/N: 10177316)"
1,01/30/20 09:15:00 AM,6.268,0.00,
2,01/30/20 09:20:00 AM,,0.00,
3,01/30/20 09:25:00 AM,,0.00,
4,01/30/20 09:30:00 AM,,0.00,
5,01/30/20 09:35:00 AM,,0.00,
6,01/30/20 09:40:00 AM,,0.00,
7,01/30/20 09:45:00 AM,4.934,0.00,
8,01/30/20 09:50:00 AM,,0.00,
9,01/30/20 09:55:00 AM,,0.00,
10,01/30/20 10:00:00 AM,,0.00,
11,01/30/20 10:05:00 AM,,0.00,
12,01/30/20 10:10:00 AM,,0.00,
13,01/30/20 10:15:00 AM,7.079,0.00,
14,01/30/20 10:20:00 AM,,0.00,
15,01/30/20 10:25:00 AM,,0.00,
16,01/30/20 10:30:00 AM,,0.00,
17,01/30/20 10:35:00 AM,,0.00,
18,01/30/20 10:40:00 AM,,0.00,
19,01/30/20 10:45:00 AM,8.182,0.00,
20,01/30/20 10:50:00 AM,,0.00,
21,01/30/20 10:55:00 AM,,0.00,
22,01/30/20 11:00:00 AM,,0.00,
23,01/30/20 11:05:00 AM,,0.00,
24,01/30/20 11:10:00 AM,,0.00,
25,01/30/20 11:15:00 AM,8.382,0.00,
26,01/30/20 11:20:00 AM,,0.00,
27,01/30/20 11:25:00 AM,,0.00,
28,01/30/20 11:30:00 AM,,0.00,
29,01/30/20 11:35:00 AM,,0.00,
30,01/30/20 11:40:00 AM,,0.00,
31,01/30/20 11:45:00 AM,7.582,0.00,
32,01/30/20 11:50:00 AM,,0.00,
33,01/30/20 11:55:00 AM,,0.00,
34,01/30/20 12:00:00 PM,,0.00,
35,01/30/20 12:05:00 PM,,0.00,
36,01/30/20 12:10:00 PM,,0.00,
37,01/30/20 12:15:00 PM,7.381,0.00,
38,01/30/20 12:20:00 PM,,0.00,
39,01/30/20 12:25:00 PM,,0.00,
40,01/30/20 12:30:00 PM,,0.00,
41,01/30/20 12:35:00 PM,,0.00,
42,01/30/20 12:40:00 PM,,0.00,
43,01/30/20 12:45:00 PM,7.782,0.00,
44,01/30/20 12:50:00 PM,,0.00,
45,01/30/20 12:55:00 PM,,0.00,
46,01/30/20 01:00:00 PM,,0.00,
47,01/30/20 01:05:00 PM,,0.00,
48,01/30/20 01:10:00 PM,,0.00,
49,01/30/20 01:15:00 PM,8.282,0.00,
50,01/30/20 01:20:00 PM,,0.00,
51,01/30/20 01:25:00 PM,,0.00,
52,01/30/20 01:30:00 PM,,0.00,
53,01/30/20 01:35:00 PM,,0.00,
54,01/30/20 01:40:00 PM,,0.00,
55,01/30/20 01:45:00 PM,8.282,0.00,
56,01/30/20 01:50:00 PM,,0.00,
57,01/30/20 01:55:00 PM,,0.00,
