Plot Title: Sternenberg,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Cum. Sum. Niederschlag, units (LGR S/N: 10692704)",Coupler Attached (LGR S/N: 10692704),Host Connected (LGR S/N: 10692704),End Of File (LGR S/N: 10692704)
1,02/28/20 08:15:00 AM,7.782,0,,,
2,02/28/20 08:20:00 AM,,0,,,
3,02/28/20 08:25:00 AM,,0,,,
4,02/28/20 08:30:00 AM,,0,,,
5,02/28/20 08:35:00 AM,,0,,,
6,02/28/20 08:40:00 AM,,0,,,
7,02/28/20 08:45:00 AM,4.311,0,,,
8,02/28/20 08:50:00 AM,,0,,,
9,02/28/20 08:55:00 AM,,0,,,
10,02/28/20 09:00:00 AM,,0,,,
11,02/28/20 09:05:00 AM,,0,,,
12,02/28/20 09:10:00 AM,,0,,,
13,02/28/20 09:15:00 AM,7.582,0,,,
14,02/28/20 09:20:00 AM,,0,,,
15,02/28/20 09:25:00 AM,,0,,,
16,02/28/20 09:30:00 AM,,0,,,
17,02/28/20 09:35:00 AM,,0,,,
18,02/28/20 09:40:00 AM,,0,,,
19,02/28/20 09:45:00 AM,9.472,0,,,
20,02/28/20 09:50:00 AM,,0,,,
21,02/28/20 09:55:00 AM,,0,,,
22,02/28/20 10:00:00 AM,,0,,,
23,02/28/20 10:05:00 AM,,0,,,
24,02/28/20 10:10:00 AM,,0,,,
25,02/28/20 10:15:00 AM,10.748,0,,,
26,02/28/20 10:20:00 AM,,0,,,
27,02/28/20 10:25:00 AM,,0,,,
28,02/28/20 10:30:00 AM,,0,,,
29,02/28/20 10:35:00 AM,,0,,,
30,02/28/20 10:40:00 AM,,0,,,
31,02/28/20 10:45:00 AM,9.965,0,,,
32,02/28/20 10:50:00 AM,,0,,,
33,02/28/20 10:55:00 AM,,0,,,
34,02/28/20 11:00:00 AM,,0,,,
35,02/28/20 11:05:00 AM,,0,,,
36,02/28/20 11:10:00 AM,,0,,,
37,02/28/20 11:15:00 AM,9.275,0,,,
38,02/28/20 11:20:00 AM,,0,,,
39,02/28/20 11:25:00 AM,,0,,,
40,02/28/20 11:30:00 AM,,0,,,
41,02/28/20 11:35:00 AM,,0,,,
42,02/28/20 11:40:00 AM,,0,,,
43,02/28/20 11:45:00 AM,11.722,0,,,
44,02/28/20 11:50:00 AM,,0,,,
45,02/28/20 11:55:00 AM,,0,,,
46,02/28/20 12:00:00 PM,,0,,,
47,02/28/20 12:05:00 PM,,0,,,
48,02/28/20 12:10:00 PM,,0,,,
49,02/28/20 12:15:00 PM,11.916,0,,,
50,02/28/20 12:20:00 PM,,0,,,
51,02/28/20 12:25:00 PM,,0,,,
52,02/28/20 12:30:00 PM,,0,,,
53,02/28/20 12:35:00 PM,,0,,,
54,02/28/20 12:40:00 PM,,0,,,
55,02/28/20 12:45:00 PM,12.207,0,,,
56,02/28/20 12:50:00 PM,,0,,,
57,02/28/20 12:55:00 PM,,0,,,
58,02/28/20 01:00:00 PM,,0,,,
59,02/28/20 01:05:00 PM,,0,,,
60,02/28/20 01:10:00 PM,,0,,,
61,02/28/20 01:15:00 PM,13.076,0,,,
62,02/28/20 01:20:00 PM,,0,,,
63,02/28/20 01:25:00 PM,,0,,,
64,02/28/20 01:30:00 PM,,0,,,
65,02/28/20 01:35:00 PM,,0,,,
66,02/28/20 01:40:00 PM,,0,,,
67,02/28/20 01:45:00 PM,12.401,0,,,
68,02/28/20 01:50:00 PM,,0,,,
69,02/28/20 01:55:00 PM,,0,,,
70,02/28/20 02:00:00 PM,,0,,,
71,02/28/20 02:05:00 PM,,0,,,
72,02/28/20 02:10:00 PM,,0,,,
73,02/28/20 02:15:00 PM,12.497,0,,,
74,02/28/20 02:20:00 PM,,0,,,
75,02/28/20 02:25:00 PM,,0,,,
76,02/28/20 02:30:00 PM,,0,,,
77,02/28/20 02:35:00 PM,,0,,,
78,02/28/20 02:40:00 PM,,0,,,
79,02/28/20 02:45:00 PM,10.161,0,,,
80,02/28/20 02:50:00 PM,,0,,,
81,02/28/20 02:55:00 PM,,0,,,
82,02/28/20 03:00:00 PM,,0,,,
83,02/28/20 03:05:00 PM,,0,,,
84,02/28/20 03:10:00 PM,,0,,,
85,02/28/20 03:15:00 PM,10.161,0,,,
86,02/28/20 03:20:00 PM,,0,,,
87,02/28/20 03:25:00 PM,,0,,,
88,02/28/20 03:30:00 PM,,0,,,
89,02/28/20 03:35:00 PM,,0,,,
90,02/28/20 03:40:00 PM,,0,,,
91,02/28/20 03:45:00 PM,11.625,0,,,
92,02/28/20 03:50:00 PM,,0,,,
93,02/28/20 03:55:00 PM,,0,,,
94,02/28/20 04:00:00 PM,,0,,,
95,02/28/20 04:05:00 PM,,0,,,
96,02/28/20 04:10:00 PM,,0,,,
97,02/28/20 04:15:00 PM,9.275,0,,,
98,02/28/20 04:20:00 PM,,0,,,
99,02/28/20 04:25:00 PM,,0,,,
100,02/28/20 04:30:00 PM,,0,,,
101,02/28/20 04:35:00 PM,,0,,,
102,02/28/20 04:40:00 PM,,0,,,
103,02/28/20 04:45:00 PM,8.481,0,,,
104,02/28/20 04:50:00 PM,,0,,,
105,02/28/20 04:55:00 PM,,0,,,
106,02/28/20 05:00:00 PM,,0,,,
107,02/28/20 05:05:00 PM,,0,,,
108,02/28/20 05:10:00 PM,,0,,,
109,02/28/20 05:15:00 PM,7.481,0,,,
110,02/28/20 05:20:00 PM,,0,,,
111,02/28/20 05:25:00 PM,,0,,,
112,02/28/20 05:30:00 PM,,0,,,
113,02/28/20 05:35:00 PM,,0,,,
114,02/28/20 05:40:00 PM,,0,,,
115,02/28/20 05:45:00 PM,6.978,0,,,
116,02/28/20 05:50:00 PM,,0,,,
117,02/28/20 05:55:00 PM,,0,,,
118,02/28/20 06:00:00 PM,,0,,,
119,02/28/20 06:05:00 PM,,0,,,
120,02/28/20 06:10:00 PM,,0,,,
121,02/28/20 06:15:00 PM,7.582,0,,,
122,02/28/20 06:20:00 PM,,0,,,
123,02/28/20 06:25:00 PM,,0,,,
124,02/28/20 06:30:00 PM,,0,,,
125,02/28/20 06:35:00 PM,,0,,,
126,02/28/20 06:40:00 PM,,0,,,
127,02/28/20 06:45:00 PM,8.382,0,,,
128,02/28/20 06:50:00 PM,,0,,,
129,02/28/20 06:55:00 PM,,0,,,
130,02/28/20 07:00:00 PM,,0,,,
131,02/28/20 07:05:00 PM,,0,,,
132,02/28/20 07:10:00 PM,,0,,,
133,02/28/20 07:15:00 PM,8.879,0,,,
134,02/28/20 07:20:00 PM,,0,,,
135,02/28/20 07:25:00 PM,,0,,,
136,02/28/20 07:30:00 PM,,0,,,
137,02/28/20 07:35:00 PM,,0,,,
138,02/28/20 07:40:00 PM,,0,,,
139,02/28/20 07:45:00 PM,9.275,0,,,
140,02/28/20 07:50:00 PM,,0,,,
141,02/28/20 07:55:00 PM,,0,,,
142,02/28/20 08:00:00 PM,,0,,,
143,02/28/20 08:05:00 PM,,0,,,
144,02/28/20 08:10:00 PM,,0,,,
145,02/28/20 08:15:00 PM,10.063,0,,,
146,02/28/20 08:20:00 PM,,0,,,
147,02/28/20 08:25:00 PM,,0,,,
148,02/28/20 08:30:00 PM,,0,,,
149,02/28/20 08:35:00 PM,,0,,,
150,02/28/20 08:40:00 PM,,0,,,
151,02/28/20 08:45:00 PM,10.161,0,,,
152,02/28/20 08:50:00 PM,,0,,,
153,02/28/20 08:55:00 PM,,0,,,
154,02/28/20 09:00:00 PM,,0,,,
155,02/28/20 09:05:00 PM,,0,,,
156,02/28/20 09:10:00 PM,,0,,,
157,02/28/20 09:15:00 PM,10.259,0,,,
158,02/28/20 09:20:00 PM,,0,,,
159,02/28/20 09:25:00 PM,,0,,,
160,02/28/20 09:30:00 PM,,0,,,
161,02/28/20 09:35:00 PM,,0,,,
162,02/28/20 09:40:00 PM,,0,,,
163,02/28/20 09:45:00 PM,10.357,0,,,
164,02/28/20 09:50:00 PM,,0,,,
165,02/28/20 09:55:00 PM,,0,,,
166,02/28/20 10:00:00 PM,,0,,,
167,02/28/20 10:05:00 PM,,0,,,
168,02/28/20 10:10:00 PM,,0,,,
169,02/28/20 10:15:00 PM,10.455,0,,,
170,02/28/20 10:20:00 PM,,0,,,
171,02/28/20 10:25:00 PM,,0,,,
172,02/28/20 10:30:00 PM,,0,,,
173,02/28/20 10:35:00 PM,,0,,,
174,02/28/20 10:40:00 PM,,0,,,
175,02/28/20 10:45:00 PM,10.455,0,,,
176,02/28/20 10:50:00 PM,,0,,,
177,02/28/20 10:55:00 PM,,0,,,
178,02/28/20 11:00:00 PM,,0,,,
179,02/28/20 11:05:00 PM,,0,,,
180,02/28/20 11:10:00 PM,,0,,,
181,02/28/20 11:15:00 PM,10.455,0,,,
182,02/28/20 11:20:00 PM,,0,,,
183,02/28/20 11:25:00 PM,,0,,,
184,02/28/20 11:30:00 PM,,0,,,
185,02/28/20 11:35:00 PM,,0,,,
186,02/28/20 11:40:00 PM,,0,,,
187,02/28/20 11:45:00 PM,10.944,0,,,
188,02/28/20 11:50:00 PM,,0,,,
189,02/28/20 11:55:00 PM,,0,,,
190,02/29/20 12:00:00 AM,,0,,,
191,02/29/20 12:05:00 AM,,0,,,
192,02/29/20 12:10:00 AM,,0,,,
193,02/29/20 12:15:00 AM,11.139,0,,,
194,02/29/20 12:20:00 AM,,0,,,
195,02/29/20 12:25:00 AM,,0,,,
196,02/29/20 12:30:00 AM,,0,,,
197,02/29/20 12:35:00 AM,,0,,,
198,02/29/20 12:40:00 AM,,0,,,
199,02/29/20 12:45:00 AM,11.431,0,,,
200,02/29/20 12:50:00 AM,,0,,,
201,02/29/20 12:55:00 AM,,0,,,
202,02/29/20 01:00:00 AM,,0,,,
203,02/29/20 01:05:00 AM,,0,,,
204,02/29/20 01:10:00 AM,,0,,,
205,02/29/20 01:15:00 AM,10.553,0,,,
206,02/29/20 01:20:00 AM,,0,,,
207,02/29/20 01:25:00 AM,,0,,,
208,02/29/20 01:30:00 AM,,0,,,
209,02/29/20 01:35:00 AM,,0,,,
210,02/29/20 01:40:00 AM,,0,,,
211,02/29/20 01:45:00 AM,8.978,0,,,
212,02/29/20 01:50:00 AM,,0,,,
213,02/29/20 01:55:00 AM,,0,,,
214,02/29/20 02:00:00 AM,,0,,,
215,02/29/20 02:05:00 AM,,0,,,
216,02/29/20 02:10:00 AM,,0,,,
217,02/29/20 02:15:00 AM,9.275,0,,,
218,02/29/20 02:20:00 AM,,0,,,
219,02/29/20 02:25:00 AM,,0,,,
220,02/29/20 02:30:00 AM,,0,,,
221,02/29/20 02:35:00 AM,,0,,,
222,02/29/20 02:40:00 AM,,0,,,
223,02/29/20 02:45:00 AM,8.68,0,,,
224,02/29/20 02:50:00 AM,,0,,,
225,02/29/20 02:55:00 AM,,0,,,
226,02/29/20 03:00:00 AM,,0,,,
227,02/29/20 03:05:00 AM,,0,,,
228,02/29/20 03:10:00 AM,,0,,,
229,02/29/20 03:15:00 AM,8.382,0,,,
230,02/29/20 03:20:00 AM,,0,,,
231,02/29/20 03:25:00 AM,,0,,,
232,02/29/20 03:30:00 AM,,0,,,
233,02/29/20 03:35:00 AM,,0,,,
234,02/29/20 03:40:00 AM,,0,,,
