"Plot Title: Schönbrunn"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177316, SEN S/N: 10177316)","Cum. Sum: Niederschlag, units (LGR S/N: 10177316)","Host Connected (LGR S/N: 10177316)","Coupler Attached (LGR S/N: 10177316)","Stopped (LGR S/N: 10177316)","End Of File (LGR S/N: 10177316)"
1,05/21/20 08:30:00 AM,24.931,0.00,,,,
2,05/21/20 08:35:00 AM,,0.00,,,,
3,05/21/20 08:40:00 AM,,0.00,,,,
4,05/21/20 08:45:00 AM,,0.00,,,,
5,05/21/20 08:50:00 AM,,0.00,,,,
6,05/21/20 08:55:00 AM,,0.00,,,,
7,05/21/20 09:00:00 AM,25.708,0.00,,,,
8,05/21/20 09:05:00 AM,,0.00,,,,
9,05/21/20 09:10:00 AM,,0.00,,,,
10,05/21/20 09:15:00 AM,,0.00,,,,
11,05/21/20 09:20:00 AM,,0.00,,,,
12,05/21/20 09:25:00 AM,,0.00,,,,
13,05/21/20 09:30:00 AM,24.931,0.00,,,,
14,05/21/20 09:35:00 AM,,0.00,,,,
15,05/21/20 09:40:00 AM,,0.00,,,,
16,05/21/20 09:45:00 AM,,0.00,,,,
17,05/21/20 09:50:00 AM,,0.00,,,,
18,05/21/20 09:55:00 AM,,0.00,,,,
19,05/21/20 10:00:00 AM,24.062,0.00,,,,
20,05/21/20 10:05:00 AM,,0.00,,,,
21,05/21/20 10:10:00 AM,,0.00,,,,
22,05/21/20 10:15:00 AM,,0.00,,,,
23,05/21/20 10:20:00 AM,,0.00,,,,
24,05/21/20 10:25:00 AM,,0.00,,,,
25,05/21/20 10:30:00 AM,24.448,0.00,,,,
26,05/21/20 10:35:00 AM,,0.00,,,,
27,05/21/20 10:40:00 AM,,0.00,,,,
28,05/21/20 10:45:00 AM,,0.00,,,,
29,05/21/20 10:50:00 AM,,0.00,,,,
30,05/21/20 10:55:00 AM,,0.00,,,,
31,05/21/20 11:00:00 AM,26.781,0.00,,,,
32,05/21/20 11:05:00 AM,,0.00,,,,
33,05/21/20 11:10:00 AM,,0.00,,,,
34,05/21/20 11:15:00 AM,,0.00,,,,
35,05/21/20 11:20:00 AM,,0.00,,,,
36,05/21/20 11:25:00 AM,,0.00,,,,
37,05/21/20 11:30:00 AM,25.708,0.00,,,,
38,05/21/20 11:35:00 AM,,0.00,,,,
39,05/21/20 11:40:00 AM,,0.00,,,,
40,05/21/20 11:45:00 AM,,0.00,,,,
41,05/21/20 11:50:00 AM,,0.00,,,,
42,05/21/20 11:55:00 AM,,0.00,,,,
43,05/21/20 12:00:00 PM,26.390,0.00,,,,
44,05/21/20 12:05:00 PM,,0.00,,,,
45,05/21/20 12:10:00 PM,,0.00,,,,
46,05/21/20 12:15:00 PM,,0.00,,,,
