Plot Title: Sportplatz,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177315, SEN S/N: 10177315)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177315)",Coupler Attached (LGR S/N: 10177315),Host Connected (LGR S/N: 10177315),Stopped (LGR S/N: 10177315),End Of File (LGR S/N: 10177315)
3073,06/01/2020 00:00,14.038,0,,,,
3074,06/01/2020 00:05,,0,,,,
3075,06/01/2020 00:10,,0,,,,
3076,06/01/2020 00:15,,0,,,,
3077,06/01/2020 00:20,,0,,,,
3078,06/01/2020 00:25,,0,,,,
3079,06/01/2020 00:30,14.038,0,,,,
3080,06/01/2020 00:35,,0,,,,
3081,06/01/2020 00:40,,0,,,,
3082,06/01/2020 00:45,,0,,,,
3083,06/01/2020 00:50,,0,,,,
3084,06/01/2020 00:55,,0,,,,
3085,06/01/2020 01:00,13.75,0,,,,
3086,06/01/2020 01:05,,0,,,,
3087,06/01/2020 01:10,,0,,,,
3088,06/01/2020 01:15,,0,,,,
3089,06/01/2020 01:20,,0,,,,
3090,06/01/2020 01:25,,0,,,,
3091,06/01/2020 01:30,13.558,0,,,,
3092,06/01/2020 01:35,,0,,,,
3093,06/01/2020 01:40,,0,,,,
3094,06/01/2020 01:45,,0,,,,
3095,06/01/2020 01:50,,0,,,,
3096,06/01/2020 01:55,,0,,,,
3097,06/01/2020 02:00,13.461,0,,,,
3098,06/01/2020 02:05,,0,,,,
3099,06/01/2020 02:10,,0,,,,
3100,06/01/2020 02:15,,0,,,,
3101,06/01/2020 02:20,,0,,,,
3102,06/01/2020 02:25,,0,,,,
3103,06/01/2020 02:30,13.269,0,,,,
3104,06/01/2020 02:35,,0,,,,
3105,06/01/2020 02:40,,0,,,,
3106,06/01/2020 02:45,,0,,,,
3107,06/01/2020 02:50,,0,,,,
3108,06/01/2020 02:55,,0,,,,
3109,06/01/2020 03:00,12.883,0,,,,
3110,06/01/2020 03:05,,0,,,,
3111,06/01/2020 03:10,,0,,,,
3112,06/01/2020 03:15,,0,,,,
3113,06/01/2020 03:20,,0,,,,
3114,06/01/2020 03:25,,0,,,,
3115,06/01/2020 03:30,12.69,0,,,,
3116,06/01/2020 03:35,,0,,,,
3117,06/01/2020 03:40,,0,,,,
3118,06/01/2020 03:45,,0,,,,
3119,06/01/2020 03:50,,0,,,,
3120,06/01/2020 03:55,,0,,,,
3121,06/01/2020 04:00,12.401,0,,,,
3122,06/01/2020 04:05,,0,,,,
3123,06/01/2020 04:10,,0,,,,
3124,06/01/2020 04:15,,0,,,,
3125,06/01/2020 04:20,,0,,,,
3126,06/01/2020 04:25,,0,,,,
3127,06/01/2020 04:30,12.594,0,,,,
3128,06/01/2020 04:35,,0,,,,
3129,06/01/2020 04:40,,0,,,,
3130,06/01/2020 04:45,,0,,,,
3131,06/01/2020 04:50,,0,,,,
3132,06/01/2020 04:55,,0,,,,
3133,06/01/2020 05:00,12.013,0,,,,
3134,06/01/2020 05:05,,0,,,,
3135,06/01/2020 05:10,,0,,,,
3136,06/01/2020 05:15,,0,,,,
3137,06/01/2020 05:20,,0,,,,
3138,06/01/2020 05:25,,0,,,,
3139,06/01/2020 05:30,12.11,0,,,,
3140,06/01/2020 05:35,,0,,,,
3141,06/01/2020 05:40,,0,,,,
3142,06/01/2020 05:45,,0,,,,
3143,06/01/2020 05:50,,0,,,,
3144,06/01/2020 05:55,,0,,,,
3145,06/01/2020 06:00,12.69,0,,,,
3146,06/01/2020 06:05,,0,,,,
3147,06/01/2020 06:10,,0,,,,
3148,06/01/2020 06:15,,0,,,,
3149,06/01/2020 06:20,,0,,,,
3150,06/01/2020 06:25,,0,,,,
3151,06/01/2020 06:30,14.23,0,,,,
3152,06/01/2020 06:35,,0,,,,
3153,06/01/2020 06:40,,0,,,,
3154,06/01/2020 06:45,,0,,,,
3155,06/01/2020 06:50,,0,,,,
3156,06/01/2020 06:55,,0,,,,
3157,06/01/2020 07:00,16.903,0,,,,
3158,06/01/2020 07:05,,0,,,,
3159,06/01/2020 07:10,,0,,,,
3160,06/01/2020 07:15,,0,,,,
