"Plot Title: Butschenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10234807, SEN S/N: 10234807)","Cum. Sum: Niederschlag, units (LGR S/N: 10234807)","Coupler Attached (LGR S/N: 10234807)","Coupler Detached (LGR S/N: 10234807)","Host Connected (LGR S/N: 10234807)","Stopped (LGR S/N: 10234807)","End Of File (LGR S/N: 10234807)"
1,05/21/20 12:30:00 PM,28.655,0.00,,,,,
2,05/21/20 12:35:00 PM,,0.00,,,,,
3,05/21/20 12:40:00 PM,,0.00,,,,,
4,05/21/20 12:45:00 PM,,0.00,,,,,
5,05/21/20 12:50:00 PM,,0.00,,,,,
6,05/21/20 12:55:00 PM,,0.00,,,,,
7,05/21/20 01:00:00 PM,26.292,0.00,,,,,
8,05/21/20 01:05:00 PM,,0.00,,,,,
9,05/21/20 01:10:00 PM,,0.00,,,,,
10,05/21/20 01:15:00 PM,,0.00,,,,,
11,05/21/20 01:20:00 PM,,0.00,,,,,
12,05/21/20 01:25:00 PM,,0.00,,,,,
13,05/21/20 01:30:00 PM,26.488,0.00,,,,,
14,05/21/20 01:35:00 PM,,0.00,,,,,
15,05/21/20 01:40:00 PM,,0.00,,,,,
16,05/21/20 01:45:00 PM,,0.00,,,,,
17,05/21/20 01:50:00 PM,,0.00,,,,,
18,05/21/20 01:55:00 PM,,0.00,,,,,
19,05/21/20 02:00:00 PM,28.060,0.00,,,,,
20,05/21/20 02:05:00 PM,,0.00,,,,,
21,05/21/20 02:10:00 PM,,0.00,,,,,
22,05/21/20 02:15:00 PM,,0.00,,,,,
23,05/21/20 02:20:00 PM,,0.00,,,,,
24,05/21/20 02:25:00 PM,,0.00,,,,,
25,05/21/20 02:30:00 PM,26.977,0.00,,,,,
26,05/21/20 02:35:00 PM,,0.00,,,,,
27,05/21/20 02:40:00 PM,,0.00,,,,,
28,05/21/20 02:45:00 PM,,0.00,,,,,
29,05/21/20 02:50:00 PM,,0.00,,,,,
30,05/21/20 02:55:00 PM,,0.00,,,,,
31,05/21/20 03:00:00 PM,28.258,0.00,,,,,
32,05/21/20 03:05:00 PM,,0.00,,,,,
33,05/21/20 03:10:00 PM,,0.00,,,,,
34,05/21/20 03:15:00 PM,,0.00,,,,,
35,05/21/20 03:20:00 PM,,0.00,,,,,
36,05/21/20 03:25:00 PM,,0.00,,,,,
37,05/21/20 03:30:00 PM,27.961,0.00,,,,,
38,05/21/20 03:35:00 PM,,0.00,,,,,
39,05/21/20 03:40:00 PM,,0.00,,,,,
40,05/21/20 03:45:00 PM,,0.00,,,,,
41,05/21/20 03:50:00 PM,,0.00,,,,,
42,05/21/20 03:55:00 PM,,0.00,,,,,
43,05/21/20 04:00:00 PM,29.552,0.00,,,,,
44,05/21/20 04:05:00 PM,,0.00,,,,,
45,05/21/20 04:10:00 PM,,0.00,,,,,
