Plot Title: Schwabenquelle,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10806052, SEN S/N: 10806052)","Cum. Sum: Niederschlag, units (LGR S/N: 10806052)"
3049,08/01/2020 00:00,19.662,0
3050,08/01/2020 00:05,,0
3051,08/01/2020 00:10,,0
3052,08/01/2020 00:15,,0
3053,08/01/2020 00:20,,0
3054,08/01/2020 00:25,,0
3055,08/01/2020 00:30,20.424,0
3056,08/01/2020 00:35,,0
3057,08/01/2020 00:40,,0
3058,08/01/2020 00:45,,0
3059,08/01/2020 00:50,,0
3060,08/01/2020 00:55,,0
3061,08/01/2020 01:00,20.901,0
3062,08/01/2020 01:05,,0
3063,08/01/2020 01:10,,0
3064,08/01/2020 01:15,,0
3065,08/01/2020 01:20,,0
3066,08/01/2020 01:25,,0
3067,08/01/2020 01:30,21.091,0
3068,08/01/2020 01:35,,0
3069,08/01/2020 01:40,,0
3070,08/01/2020 01:45,,0
3071,08/01/2020 01:50,,0
3072,08/01/2020 01:55,,0
3073,08/01/2020 02:00,20.71,0
3074,08/01/2020 02:05,,0
3075,08/01/2020 02:10,,0
3076,08/01/2020 02:15,,0
3077,08/01/2020 02:20,,0
3078,08/01/2020 02:25,,0
3079,08/01/2020 02:30,21.187,0
3080,08/01/2020 02:35,,0
3081,08/01/2020 02:40,,0
3082,08/01/2020 02:45,,0
3083,08/01/2020 02:50,,0
3084,08/01/2020 02:55,,0
3085,08/01/2020 03:00,20.996,0
3086,08/01/2020 03:05,,0
3087,08/01/2020 03:10,,0
3088,08/01/2020 03:15,,0
3089,08/01/2020 03:20,,0
3090,08/01/2020 03:25,,0
3091,08/01/2020 03:30,20.71,0
3092,08/01/2020 03:35,,0
3093,08/01/2020 03:40,,0
3094,08/01/2020 03:45,,0
3095,08/01/2020 03:50,,0
3096,08/01/2020 03:55,,0
3097,08/01/2020 04:00,20.043,0
3098,08/01/2020 04:05,,0
3099,08/01/2020 04:10,,0
3100,08/01/2020 04:15,,0
3101,08/01/2020 04:20,,0
3102,08/01/2020 04:25,,0
3103,08/01/2020 04:30,19.377,0
3104,08/01/2020 04:35,,0
3105,08/01/2020 04:40,,0
3106,08/01/2020 04:45,,0
3107,08/01/2020 04:50,,0
3108,08/01/2020 04:55,,0
3109,08/01/2020 05:00,20.424,0
3110,08/01/2020 05:05,,0
3111,08/01/2020 05:10,,0
3112,08/01/2020 05:15,,0
3113,08/01/2020 05:20,,0
3114,08/01/2020 05:25,,0
3115,08/01/2020 05:30,20.043,0
3116,08/01/2020 05:35,,0
3117,08/01/2020 05:40,,0
3118,08/01/2020 05:45,,0
3119,08/01/2020 05:50,,0
3120,08/01/2020 05:55,,0
3121,08/01/2020 06:00,20.424,0
3122,08/01/2020 06:05,,0
3123,08/01/2020 06:10,,0
3124,08/01/2020 06:15,,0
3125,08/01/2020 06:20,,0
3126,08/01/2020 06:25,,0
3127,08/01/2020 06:30,21.282,0
3128,08/01/2020 06:35,,0
3129,08/01/2020 06:40,,0
3130,08/01/2020 06:45,,0
3131,08/01/2020 06:50,,0
3132,08/01/2020 06:55,,0
3133,08/01/2020 07:00,21.855,0
3134,08/01/2020 07:05,,0
3135,08/01/2020 07:10,,0
3136,08/01/2020 07:15,,0
3137,08/01/2020 07:20,,0
3138,08/01/2020 07:25,,0
3139,08/01/2020 07:30,21.282,0
3140,08/01/2020 07:35,,0
3141,08/01/2020 07:40,,0
3142,08/01/2020 07:45,,0
3143,08/01/2020 07:50,,0
3144,08/01/2020 07:55,,0
3145,08/01/2020 08:00,22.238,0
3146,08/01/2020 08:05,,0
3147,08/01/2020 08:10,,0
3148,08/01/2020 08:15,,0
3149,08/01/2020 08:20,,0
3150,08/01/2020 08:25,,0
3151,08/01/2020 08:30,20.519,0
3152,08/01/2020 08:35,,0
3153,08/01/2020 08:40,,0
3154,08/01/2020 08:45,,0
3155,08/01/2020 08:50,,0
3156,08/01/2020 08:55,,0
3157,08/01/2020 09:00,21.76,0
3158,08/01/2020 09:05,,0
3159,08/01/2020 09:10,,0
3160,08/01/2020 09:15,,0
3161,08/01/2020 09:20,,0
3162,08/01/2020 09:25,,0
3163,08/01/2020 09:30,20.996,0
3164,08/01/2020 09:35,,0
3165,08/01/2020 09:40,,0
3166,08/01/2020 09:45,,0
3167,08/01/2020 09:50,,0
3168,08/01/2020 09:55,,0
3169,08/01/2020 10:00,23.869,0
3170,08/01/2020 10:05,,0
3171,08/01/2020 10:10,,0
3172,08/01/2020 10:15,,0
3173,08/01/2020 10:20,,0
3174,08/01/2020 10:25,,0
3175,08/01/2020 10:30,25.125,0
3176,08/01/2020 10:35,,0
3177,08/01/2020 10:40,,0
3178,08/01/2020 10:45,,0
3179,08/01/2020 10:50,,0
3180,08/01/2020 10:55,,0
3181,08/01/2020 11:00,25.61,0
3182,08/01/2020 11:05,,0
3183,08/01/2020 11:10,,0
3184,08/01/2020 11:15,,0
3185,08/01/2020 11:20,,0
3186,08/01/2020 11:25,,0
3187,08/01/2020 11:30,28.555,0
3188,08/01/2020 11:35,,0
3189,08/01/2020 11:40,,0
3190,08/01/2020 11:45,,0
3191,08/01/2020 11:50,,0
3192,08/01/2020 11:55,,0
3193,08/01/2020 12:00,26.585,0
3194,08/01/2020 12:05,,0
3195,08/01/2020 12:10,,0
3196,08/01/2020 12:15,,0
3197,08/01/2020 12:20,,0
3198,08/01/2020 12:25,,0
3199,08/01/2020 12:30,28.953,0
3200,08/01/2020 12:35,,0
3201,08/01/2020 12:40,,0
3202,08/01/2020 12:45,,0
3203,08/01/2020 12:50,,0
3204,08/01/2020 12:55,,0
3205,08/01/2020 13:00,28.456,0
3206,08/01/2020 13:05,,0
3207,08/01/2020 13:10,,0
3208,08/01/2020 13:15,,0
3209,08/01/2020 13:20,,0
3210,08/01/2020 13:25,,0
3211,08/01/2020 13:30,30.558,0
3212,08/01/2020 13:35,,0
3213,08/01/2020 13:40,,0
3214,08/01/2020 13:45,,0
3215,08/01/2020 13:50,,0
3216,08/01/2020 13:55,,0
3217,08/01/2020 14:00,30.862,0
3218,08/01/2020 14:05,,0
3219,08/01/2020 14:10,,0
3220,08/01/2020 14:15,,0
3221,08/01/2020 14:20,,0
3222,08/01/2020 14:25,,0
3223,08/01/2020 14:30,28.456,0
3224,08/01/2020 14:35,,0
3225,08/01/2020 14:40,,0
3226,08/01/2020 14:45,,0
3227,08/01/2020 14:50,,0
3228,08/01/2020 14:55,,0
3229,08/01/2020 15:00,31.268,0
3230,08/01/2020 15:05,,0
3231,08/01/2020 15:10,,0
3232,08/01/2020 15:15,,0
3233,08/01/2020 15:20,,0
3234,08/01/2020 15:25,,0
3235,08/01/2020 15:30,30.356,0
3236,08/01/2020 15:35,,0
3237,08/01/2020 15:40,,0
3238,08/01/2020 15:45,,0
3239,08/01/2020 15:50,,0
3240,08/01/2020 15:55,,0
3241,08/01/2020 16:00,33.326,0
3242,08/01/2020 16:05,,0
3243,08/01/2020 16:10,,0
3244,08/01/2020 16:15,,0
3245,08/01/2020 16:20,,0
3246,08/01/2020 16:25,,0
3247,08/01/2020 16:30,31.88,0
3248,08/01/2020 16:35,,0
3249,08/01/2020 16:40,,0
3250,08/01/2020 16:45,,0
3251,08/01/2020 16:50,,0
3252,08/01/2020 16:55,,0
3253,08/01/2020 17:00,26.585,0
3254,08/01/2020 17:05,,0
3255,08/01/2020 17:10,,0
3256,08/01/2020 17:15,,0
3257,08/01/2020 17:20,,0
3258,08/01/2020 17:25,,0
3259,08/01/2020 17:30,24.738,0
3260,08/01/2020 17:35,,0
3261,08/01/2020 17:40,,0
3262,08/01/2020 17:45,,0
3263,08/01/2020 17:50,,0
3264,08/01/2020 17:55,,0
3265,08/01/2020 18:00,23.677,0
3266,08/01/2020 18:05,,0
3267,08/01/2020 18:10,,0
3268,08/01/2020 18:15,,0
3269,08/01/2020 18:20,,0
3270,08/01/2020 18:25,,0
3271,08/01/2020 18:30,20.424,0
3272,08/01/2020 18:35,,0
3273,08/01/2020 18:40,,0
3274,08/01/2020 18:45,,0
3275,08/01/2020 18:50,,0
3276,08/01/2020 18:55,,0
