"Plot Title: Sternenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10692704, SEN S/N: 10692704, LBL: Temperatur)","Niederschlag, units (LGR S/N: 10692704)"
1,07/21/20 08:00:00 AM,26.292,0.00
2,07/21/20 08:05:00 AM,26.292,0.00
3,07/21/20 08:10:00 AM,26.390,0.00
4,07/21/20 08:15:00 AM,26.488,0.00
5,07/21/20 08:20:00 AM,26.488,0.00
6,07/21/20 08:25:00 AM,26.585,0.00
7,07/21/20 08:30:00 AM,26.585,0.00
8,07/21/20 08:35:00 AM,26.488,0.00
9,07/21/20 08:40:00 AM,26.781,0.00
10,07/21/20 08:45:00 AM,26.781,0.00
11,07/21/20 08:50:00 AM,26.879,0.00
12,07/21/20 08:55:00 AM,27.075,0.00
13,07/21/20 09:00:00 AM,27.468,0.00
14,07/21/20 09:05:00 AM,27.961,0.00
15,07/21/20 09:10:00 AM,28.060,0.00
16,07/21/20 09:15:00 AM,28.060,0.00
17,07/21/20 09:20:00 AM,28.159,0.00
18,07/21/20 09:25:00 AM,28.258,0.00
19,07/21/20 09:30:00 AM,28.060,0.00
20,07/21/20 09:35:00 AM,28.456,0.00
21,07/21/20 09:40:00 AM,28.853,0.00
22,07/21/20 09:45:00 AM,28.953,0.00
23,07/21/20 09:50:00 AM,28.853,0.00
24,07/21/20 09:55:00 AM,28.853,0.00
25,07/21/20 10:00:00 AM,28.853,0.00
26,07/21/20 10:05:00 AM,28.953,0.00
27,07/21/20 10:10:00 AM,28.953,0.00
28,07/21/20 10:15:00 AM,29.053,0.00
29,07/21/20 10:20:00 AM,29.053,0.00
30,07/21/20 10:25:00 AM,29.352,0.00
31,07/21/20 10:30:00 AM,29.652,0.00
32,07/21/20 10:35:00 AM,29.552,0.00
33,07/21/20 10:40:00 AM,29.452,0.00
34,07/21/20 10:45:00 AM,29.552,0.00
35,07/21/20 10:50:00 AM,29.853,0.00
36,07/21/20 10:55:00 AM,29.953,0.00
37,07/21/20 11:00:00 AM,30.054,0.00
38,07/21/20 11:05:00 AM,30.054,0.00
39,07/21/20 11:10:00 AM,30.558,0.00
40,07/21/20 11:15:00 AM,30.659,0.00
41,07/21/20 11:20:00 AM,30.862,0.00
42,07/21/20 11:25:00 AM,30.963,0.00
43,07/21/20 11:30:00 AM,30.963,0.00
44,07/21/20 11:35:00 AM,31.268,0.00
45,07/21/20 11:40:00 AM,31.166,0.00
46,07/21/20 11:45:00 AM,31.064,0.00
47,07/21/20 11:50:00 AM,30.760,0.00
48,07/21/20 11:55:00 AM,30.154,0.00
49,07/21/20 12:00:00 PM,30.154,0.00
50,07/21/20 12:05:00 PM,29.853,0.00
51,07/21/20 12:10:00 PM,29.953,0.00
52,07/21/20 12:15:00 PM,29.252,0.00
53,07/21/20 12:20:00 PM,29.053,0.00
54,07/21/20 12:25:00 PM,29.352,0.00
55,07/21/20 12:30:00 PM,29.853,0.00
