sample,datetime,wtemp_p_1,ltemp_p_2,wtrhgt__3
1,21/07/2020 12:14:12,25.3,27.9,-45
2,21/07/2020 12:19:12,25.3,25.6,-57
3,21/07/2020 12:24:12,21.6,22.7,-57
4,21/07/2020 12:29:12,19.2,20.9,-57
5,21/07/2020 12:34:12,17.5,19.5,-57
6,21/07/2020 12:39:12,16.1,18.8,-57
7,21/07/2020 12:44:12,15.5,18.2,-57
8,21/07/2020 12:49:12,14.8,17.5,-57
9,21/07/2020 12:54:12,14.5,17.1,-57
10,21/07/2020 12:59:12,14.1,16.8,-57
11,21/07/2020 13:04:12,13.8,16.5,-57
12,21/07/2020 13:09:12,13.8,16.5,-57
13,21/07/2020 13:14:12,13.8,16.5,-57
14,21/07/2020 13:19:12,13.5,16.1,-57
15,21/07/2020 13:24:12,13.5,16.1,-57
16,21/07/2020 13:29:12,13.5,16.1,-57
17,21/07/2020 13:34:12,13.5,16.1,-57
18,21/07/2020 13:39:12,13.5,16.1,-57
19,21/07/2020 13:44:12,13.5,16.1,-57
20,21/07/2020 13:49:12,13.5,16.1,-57
21,21/07/2020 13:54:12,13.5,15.8,-45
22,21/07/2020 13:59:12,13.5,15.8,-45
23,21/07/2020 14:04:12,13.5,15.8,-57
24,21/07/2020 14:09:12,13.5,15.8,-57
25,21/07/2020 14:14:12,13.5,15.8,-57
26,21/07/2020 14:19:12,13.5,15.8,-57
27,21/07/2020 14:24:12,13.5,15.8,-45
28,21/07/2020 14:29:12,13.5,15.8,-45
29,21/07/2020 14:34:12,13.5,15.8,-45
30,21/07/2020 14:39:12,13.5,15.8,-45
31,21/07/2020 14:44:12,13.5,15.8,-45
32,21/07/2020 14:49:12,13.5,15.8,-45
33,21/07/2020 14:54:12,13.5,15.8,-45
34,21/07/2020 14:59:12,13.5,15.8,-45
35,21/07/2020 15:04:12,13.5,15.8,-45
36,21/07/2020 15:09:12,13.5,15.8,-45
37,21/07/2020 15:14:12,13.5,15.8,-45
38,21/07/2020 15:19:12,13.5,15.8,-45
39,21/07/2020 15:24:12,13.5,15.8,-45
40,21/07/2020 15:29:12,13.5,15.8,-45
41,21/07/2020 15:34:12,13.5,15.8,-45
42,21/07/2020 15:39:12,13.5,15.8,-45
43,21/07/2020 15:44:12,13.5,15.8,-45
44,21/07/2020 15:49:12,13.5,15.8,-45
45,21/07/2020 15:54:12,13.5,15.8,-45
46,21/07/2020 15:59:12,13.5,15.8,-45
47,21/07/2020 16:04:12,13.5,15.8,-45
48,21/07/2020 16:09:12,13.5,15.8,-45
