"Plot Title: Schönbrunn"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177316, SEN S/N: 10177316)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177316, SEN S/N: 10177316)","Coupler Attached (LGR S/N: 10177316)","Host Connected (LGR S/N: 10177316)","Stopped (LGR S/N: 10177316)","End Of File (LGR S/N: 10177316)"
1,08/20/20 09:00:00 AM,39.276,0.0,,,,
2,08/20/20 09:30:00 AM,32.600,,,,,
3,08/20/20 10:00:00 AM,31.983,,,,,
4,08/20/20 10:30:00 AM,32.497,,,,,
5,08/20/20 11:00:00 AM,31.983,,,,,
6,08/20/20 11:30:00 AM,31.574,,,,,
7,08/20/20 12:00:00 PM,32.394,,,,,
8,08/20/20 12:30:00 PM,32.086,,,,,
9,08/20/20 01:00:00 PM,32.497,,,,,
10,08/20/20 01:30:00 PM,31.574,,,,,
11,08/20/20 02:00:00 PM,30.760,,,,,
12,08/20/20 02:30:00 PM,29.752,,,,,
13,08/20/20 03:00:00 PM,28.754,,,,,
14,08/20/20 03:30:00 PM,28.953,,,,,
15,08/20/20 04:00:00 PM,30.154,,,,,
16,08/20/20 04:30:00 PM,29.853,,,,,
17,08/20/20 05:00:00 PM,27.862,,,,,
18,08/20/20 05:30:00 PM,25.416,,,,,
19,08/20/20 06:00:00 PM,22.525,,,,,
20,08/20/20 06:30:00 PM,22.046,,,,,
21,08/20/20 07:00:00 PM,22.046,,,,,
22,08/20/20 07:30:00 PM,22.429,,,,,
23,08/20/20 08:00:00 PM,23.581,,,,,
24,08/20/20 08:30:00 PM,24.738,,,,,
25,08/20/20 09:00:00 PM,23.869,,,,,
26,08/20/20 09:30:00 PM,23.484,,,,,
27,08/20/20 10:00:00 PM,22.908,,,,,
28,08/20/20 10:30:00 PM,23.292,,,,,
29,08/20/20 11:00:00 PM,22.429,,,,,
30,08/20/20 11:30:00 PM,22.046,,,,,
31,08/21/20 12:00:00 AM,22.238,,,,,
32,08/21/20 12:30:00 AM,23.004,,,,,
33,08/21/20 01:00:00 AM,23.196,,,,,
34,08/21/20 01:30:00 AM,24.351,,,,,
35,08/21/20 02:00:00 AM,24.448,,,,,
36,08/21/20 02:30:00 AM,25.125,,,,,
37,08/21/20 03:00:00 AM,24.255,,,,,
38,08/21/20 03:30:00 AM,24.545,,,,,
39,08/21/20 04:00:00 AM,24.545,,,,,
40,08/21/20 04:30:00 AM,24.835,,,,,
41,08/21/20 05:00:00 AM,24.931,,,,,
42,08/21/20 05:30:00 AM,24.255,,,,,
43,08/21/20 06:00:00 AM,24.835,,,,,
44,08/21/20 06:30:00 AM,25.513,,,,,
45,08/21/20 07:00:00 AM,29.152,,,,,
46,08/21/20 07:30:00 AM,29.652,,,,,
47,08/21/20 08:00:00 AM,27.961,,,,,
48,08/21/20 08:30:00 AM,28.456,,,,,
49,08/21/20 09:00:00 AM,28.853,,,,,
50,08/21/20 09:30:00 AM,30.356,,,,,
51,08/21/20 10:00:00 AM,30.659,,,,,
52,08/21/20 10:30:00 AM,31.268,,,,,
53,08/21/20 11:00:00 AM,30.963,,,,,
54,08/21/20 11:30:00 AM,30.558,,,,,
55,08/21/20 12:00:00 PM,31.064,,,,,
56,08/21/20 12:30:00 PM,30.255,,,,,
57,08/21/20 01:00:00 PM,30.457,,,,,
58,08/21/20 01:30:00 PM,29.652,,,,,
59,08/21/20 02:00:00 PM,30.862,,,,,
60,08/21/20 02:30:00 PM,30.054,,,,,
61,08/21/20 03:00:00 PM,29.652,,,,,
62,08/21/20 03:30:00 PM,29.752,,,,,
63,08/21/20 04:00:00 PM,29.953,,,,,
64,08/21/20 04:30:00 PM,29.853,,,,,
65,08/21/20 05:00:00 PM,27.567,,,,,
66,08/21/20 05:30:00 PM,26.195,,,,,
67,08/21/20 06:00:00 PM,25.319,,,,,
68,08/21/20 06:30:00 PM,23.966,,,,,
69,08/21/20 07:00:00 PM,23.292,,,,,
70,08/21/20 07:30:00 PM,21.282,,,,,
71,08/21/20 08:00:00 PM,21.187,,,,,
72,08/21/20 08:30:00 PM,20.615,,,,,
73,08/21/20 09:00:00 PM,20.710,,,,,
74,08/21/20 09:30:00 PM,21.473,,,,,
75,08/21/20 10:00:00 PM,22.333,,,,,
76,08/21/20 10:30:00 PM,21.760,,,,,
77,08/21/20 11:00:00 PM,21.187,,,,,
78,08/21/20 11:30:00 PM,20.710,,,,,
79,08/22/20 12:00:00 AM,19.948,,,,,
80,08/22/20 12:30:00 AM,19.948,,,,,
81,08/22/20 01:00:00 AM,19.853,,,,,
82,08/22/20 01:30:00 AM,19.282,,,,,
83,08/22/20 02:00:00 AM,19.187,,,,,
84,08/22/20 02:30:00 AM,18.996,,,,,
85,08/22/20 03:00:00 AM,18.711,,,,,
86,08/22/20 03:30:00 AM,18.331,,,,,
