"Plot Title: Sportplatz"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177317, SEN S/N: 10177317)","Cum. Sum. Niederschlag, mm (LGR S/N: 10177317, SEN S/N: 10177317)"
1,08/20/20 08:30:00 AM,24.835,0.0
2,08/20/20 09:00:00 AM,27.567,
3,08/20/20 09:30:00 AM,30.760,
4,08/20/20 10:00:00 AM,32.497,
5,08/20/20 10:30:00 AM,33.118,
6,08/20/20 11:00:00 AM,34.374,
7,08/20/20 11:30:00 AM,34.903,
8,08/20/20 12:00:00 PM,33.953,
9,08/20/20 12:30:00 PM,35.435,
10,08/20/20 01:00:00 PM,35.542,
11,08/20/20 01:30:00 PM,34.691,
12,08/20/20 02:00:00 PM,34.903,
13,08/20/20 02:30:00 PM,33.222,
14,08/20/20 03:00:00 PM,32.291,
15,08/20/20 03:30:00 PM,31.472,
16,08/20/20 04:00:00 PM,30.255,
17,08/20/20 04:30:00 PM,29.352,
18,08/20/20 05:00:00 PM,28.258,
19,08/20/20 05:30:00 PM,27.468,
20,08/20/20 06:00:00 PM,27.173,
21,08/20/20 06:30:00 PM,26.390,
22,08/20/20 07:00:00 PM,25.805,
23,08/20/20 07:30:00 PM,25.319,
24,08/20/20 08:00:00 PM,25.125,
25,08/20/20 08:30:00 PM,24.931,
26,08/20/20 09:00:00 PM,25.028,
27,08/20/20 09:30:00 PM,24.931,
28,08/20/20 10:00:00 PM,24.931,
29,08/20/20 10:30:00 PM,25.125,
30,08/20/20 11:00:00 PM,24.738,
31,08/20/20 11:30:00 PM,24.641,
32,08/21/20 12:00:00 AM,25.416,
33,08/21/20 12:30:00 AM,25.319,
34,08/21/20 01:00:00 AM,25.222,
35,08/21/20 01:30:00 AM,24.835,
36,08/21/20 02:00:00 AM,24.835,
37,08/21/20 02:30:00 AM,23.388,
38,08/21/20 03:00:00 AM,23.581,
39,08/21/20 03:30:00 AM,23.773,
40,08/21/20 04:00:00 AM,24.448,
41,08/21/20 04:30:00 AM,25.028,
42,08/21/20 05:00:00 AM,24.641,
43,08/21/20 05:30:00 AM,23.773,
44,08/21/20 06:00:00 AM,23.100,
45,08/21/20 06:30:00 AM,23.196,
46,08/21/20 07:00:00 AM,23.292,
47,08/21/20 07:30:00 AM,23.581,
48,08/21/20 08:00:00 AM,24.158,
49,08/21/20 08:30:00 AM,25.513,
50,08/21/20 09:00:00 AM,29.452,
51,08/21/20 09:30:00 AM,33.222,
52,08/21/20 10:00:00 AM,33.953,
53,08/21/20 10:30:00 AM,35.009,
54,08/21/20 11:00:00 AM,35.328,
55,08/21/20 11:30:00 AM,35.222,
56,08/21/20 12:00:00 PM,35.115,
57,08/21/20 12:30:00 PM,35.435,
58,08/21/20 01:00:00 PM,34.585,
59,08/21/20 01:30:00 PM,34.903,
60,08/21/20 02:00:00 PM,35.115,
61,08/21/20 02:30:00 PM,33.953,
62,08/21/20 03:00:00 PM,33.639,
63,08/21/20 03:30:00 PM,32.704,
64,08/21/20 04:00:00 PM,31.880,
65,08/21/20 04:30:00 PM,30.760,
66,08/21/20 05:00:00 PM,29.452,
67,08/21/20 05:30:00 PM,28.853,
68,08/21/20 06:00:00 PM,28.555,
69,08/21/20 06:30:00 PM,27.764,
70,08/21/20 07:00:00 PM,26.390,
71,08/21/20 07:30:00 PM,25.902,
72,08/21/20 08:00:00 PM,25.610,
73,08/21/20 08:30:00 PM,25.513,
74,08/21/20 09:00:00 PM,25.416,
75,08/21/20 09:30:00 PM,25.513,
76,08/21/20 10:00:00 PM,25.319,
77,08/21/20 10:30:00 PM,24.641,
78,08/21/20 11:00:00 PM,23.869,
79,08/21/20 11:30:00 PM,23.773,
80,08/22/20 12:00:00 AM,23.292,
81,08/22/20 12:30:00 AM,23.100,
82,08/22/20 01:00:00 AM,22.812,
83,08/22/20 01:30:00 AM,22.333,
84,08/22/20 02:00:00 AM,21.951,
85,08/22/20 02:30:00 AM,21.569,
86,08/22/20 03:00:00 AM,21.091,
87,08/22/20 03:30:00 AM,20.710,
88,08/22/20 03:46:16 AM,,0.2
89,08/22/20 03:48:07 AM,,0.4
90,08/22/20 04:00:00 AM,19.282,
91,08/22/20 04:00:13 AM,,0.6
92,08/22/20 04:30:00 AM,18.806,
93,08/22/20 04:43:39 AM,,0.8
94,08/22/20 04:45:28 AM,,1.0
95,08/22/20 04:48:38 AM,,1.2
96,08/22/20 05:00:00 AM,18.616,
97,08/22/20 05:30:00 AM,18.616,
