"Plot Title: Butschenberg"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10234807, SEN S/N: 10234807)","Cum. Sum: Niederschlag, units (LGR S/N: 10234807)"
1,07/21/20 02:00:00 PM,28.953,0.00
2,07/21/20 02:05:00 PM,,0.00
3,07/21/20 02:10:00 PM,,0.00
4,07/21/20 02:15:00 PM,,0.00
5,07/21/20 02:20:00 PM,,0.00
6,07/21/20 02:25:00 PM,,0.00
7,07/21/20 02:30:00 PM,27.961,0.00
8,07/21/20 02:35:00 PM,,0.00
9,07/21/20 02:40:00 PM,,0.00
10,07/21/20 02:45:00 PM,,0.00
11,07/21/20 02:50:00 PM,,0.00
12,07/21/20 02:55:00 PM,,0.00
13,07/21/20 03:00:00 PM,28.853,0.00
14,07/21/20 03:05:00 PM,,0.00
15,07/21/20 03:10:00 PM,,0.00
16,07/21/20 03:15:00 PM,,0.00
17,07/21/20 03:20:00 PM,,0.00
18,07/21/20 03:25:00 PM,,0.00
19,07/21/20 03:30:00 PM,29.152,0.00
20,07/21/20 03:35:00 PM,,0.00
21,07/21/20 03:40:00 PM,,0.00
22,07/21/20 03:45:00 PM,,0.00
23,07/21/20 03:50:00 PM,,0.00
24,07/21/20 03:55:00 PM,,0.00
25,07/21/20 04:00:00 PM,29.252,0.00
26,07/21/20 04:05:00 PM,,0.00
27,07/21/20 04:10:00 PM,,0.00
28,07/21/20 04:15:00 PM,,0.00
29,07/21/20 04:20:00 PM,,0.00
30,07/21/20 04:25:00 PM,,0.00
31,07/21/20 04:30:00 PM,28.853,0.00
32,07/21/20 04:35:00 PM,,0.00
33,07/21/20 04:40:00 PM,,0.00
34,07/21/20 04:45:00 PM,,0.00
35,07/21/20 04:50:00 PM,,0.00
36,07/21/20 04:55:00 PM,,0.00
37,07/21/20 05:00:00 PM,29.252,0.00
38,07/21/20 05:05:00 PM,,0.00
39,07/21/20 05:10:00 PM,,0.00
40,07/21/20 05:15:00 PM,,0.00
41,07/21/20 05:20:00 PM,,0.00
42,07/21/20 05:25:00 PM,,0.00
43,07/21/20 05:30:00 PM,28.555,0.00
44,07/21/20 05:35:00 PM,,0.00
45,07/21/20 05:40:00 PM,,0.00
46,07/21/20 05:45:00 PM,,0.00
47,07/21/20 05:50:00 PM,,0.00
48,07/21/20 05:55:00 PM,,0.00
49,07/21/20 06:00:00 PM,27.862,0.00
50,07/21/20 06:05:00 PM,,0.00
51,07/21/20 06:10:00 PM,,0.00
52,07/21/20 06:15:00 PM,,0.00
53,07/21/20 06:20:00 PM,,0.00
54,07/21/20 06:25:00 PM,,0.00
55,07/21/20 06:30:00 PM,25.902,0.00
56,07/21/20 06:35:00 PM,,0.00
57,07/21/20 06:40:00 PM,,0.00
58,07/21/20 06:45:00 PM,,0.00
59,07/21/20 06:50:00 PM,,0.00
60,07/21/20 06:55:00 PM,,0.00
61,07/21/20 07:00:00 PM,21.569,0.00
