"TOA5","Schafhof1","CR200X","No_SN","CR200X.Std.01","Messung.CR2","20312","Table1"
"TIMESTAMP","RECORD","VWC_Avg","EC_Avg","T_Avg"
"TS","RN","m^3/m^3","dS/m","Deg C"
"","","Avg","Avg","Avg"
"2020-12-18 03:55:00",784697,0.2534,0.0051,6.1594
"2020-12-18 04:00:00",784698,0.2533,0.0052,6.1654
"2020-12-18 04:05:00",784699,0.2533,0.0052,6.1474
"2020-12-18 04:10:00",784700,0.2534,0.0051,6.1474
"2020-12-18 04:15:00",784701,0.2534,0.0051,6.1744
"2020-12-18 04:20:00",784702,0.2534,0.0051,6.1205
"2020-12-18 04:25:00",784703,0.2533,0.0052,6.1594
"2020-12-18 04:30:00",784704,0.2533,0.0052,6.1624
"2020-12-18 04:35:00",784705,0.2534,0.0051,6.1205
"2020-12-18 04:40:00",784706,0.2533,0.0052,6.1385
"2020-12-18 04:45:00",784707,0.2534,0.0051,6.1085
"2020-12-18 04:50:00",784708,0.2533,0.0052,6.1295
"2020-12-18 04:55:00",784709,0.2534,0.0051,6.1175
"2020-12-18 05:00:00",784710,0.2534,0.0051,6.1175
"2020-12-18 05:05:00",784711,0.2531,0.0051,6.1444
"2020-12-18 05:10:00",784712,0.2531,0.005,6.1055
"2020-12-18 05:15:00",784713,0.2531,0.0051,6.1205
"2020-12-18 05:20:00",784714,0.2531,0.0049,6.0876
"2020-12-18 05:25:00",784715,0.2531,0.0052,6.1145
"2020-12-18 05:30:00",784716,0.2531,0.005,6.1055
"2020-12-18 05:35:00",784717,0.2531,0.0052,6.0576
"2020-12-18 05:40:00",784718,0.2531,0.0051,6.0846
"2020-12-18 05:45:00",784719,0.2531,0.0051,6.0786
"2020-12-18 05:50:00",784720,0.2531,0.0051,6.0696
"2020-12-18 05:55:00",784721,0.2531,0.0052,6.1025
"2020-12-18 06:00:00",784722,0.2531,0.0052,6.0696
"2020-12-18 06:05:00",784723,0.2531,0.0052,6.0696
"2020-12-18 06:10:00",784724,0.2531,0.0051,6.0666
"2020-12-18 06:15:00",784725,0.2531,0.0051,6.0576
"2020-12-18 06:20:00",784726,0.2531,0.0051,6.0636
"2020-12-18 06:25:00",784727,0.2531,0.0052,6.0336
"2020-12-18 06:30:00",784728,0.2531,0.005,6.0306
"2020-12-18 06:35:00",784729,0.2531,0.0051,6.0066
"2020-12-18 06:40:00",784730,0.2528,0.0049,6.0306
"2020-12-18 06:45:00",784731,0.2528,0.0051,6.0396
"2020-12-18 06:50:00",784732,0.2528,0.0052,6.0396
"2020-12-18 06:55:00",784733,0.2528,0.005,6.0216
"2020-12-18 07:00:00",784734,0.2528,0.0051,6.0366
"2020-12-18 07:05:00",784735,0.2528,0.0051,6.0157
"2020-12-18 07:10:00",784736,0.2528,0.0051,6.0097
"2020-12-18 07:15:00",784737,0.2528,0.0052,6.0276
"2020-12-18 07:20:00",784738,0.2528,0.0051,6.0007
"2020-12-18 07:25:00",784739,0.2528,0.0051,6.0097
"2020-12-18 07:30:00",784740,0.2528,0.005,6.0097
"2020-12-18 07:35:00",784741,0.2528,0.005,6.0066
"2020-12-18 07:40:00",784742,0.2528,0.0052,5.9887
"2020-12-18 07:45:00",784743,0.2528,0.005,5.9947
"2020-12-18 07:50:00",784744,0.2528,0.0051,5.9887
"2020-12-18 07:55:00",784745,0.2528,0.0051,5.9647
"2020-12-18 08:00:00",784746,0.2528,0.005,5.9917
"2020-12-18 08:05:00",784747,0.2528,0.005,5.9587
"2020-12-18 08:10:00",784748,0.2528,0.0052,5.9797
"2020-12-18 08:15:00",784749,0.2528,0.0051,5.9827
"2020-12-18 08:20:00",784750,0.2528,0.0052,5.9797
"2020-12-18 08:25:00",784751,0.2525,0.005,5.9827
"2020-12-18 08:30:00",784752,0.2525,0.005,5.9557
"2020-12-18 08:35:00",784753,0.2525,0.0051,5.9647
"2020-12-18 08:40:00",784754,0.2525,0.0051,5.9527
"2020-12-18 08:45:00",784755,0.2525,0.005,5.9617
"2020-12-18 08:50:00",784756,0.2525,0.005,5.9407
"2020-12-18 08:55:00",784757,0.2525,0.0052,5.9587
"2020-12-18 09:00:00",784758,0.2525,0.0051,5.9706
"2020-12-18 09:05:00",784759,0.2525,0.005,5.9407
"2020-12-18 09:10:00",784760,0.2525,0.005,5.9257
"2020-12-18 09:15:00",784761,0.2525,0.005,5.9647
"2020-12-18 09:20:00",784762,0.2525,0.0052,5.9077
"2020-12-18 09:25:00",784763,0.2526,0.0049,5.9197
"2020-12-18 09:30:00",784764,0.2525,0.0052,5.9286
"2020-12-18 09:35:00",784765,0.2525,0.005,5.9317
"2020-12-18 09:40:00",784766,0.2525,0.0052,5.9257
"2020-12-18 09:45:00",784767,0.2525,0.0051,5.9137
"2020-12-18 09:50:00",784768,0.2525,0.005,5.8746
"2020-12-18 09:55:00",784769,0.2525,0.005,5.8746
"2020-12-18 10:00:00",784770,0.2525,0.0051,5.8896
"2020-12-18 10:05:00",784771,0.2525,0.005,5.8866
"2020-12-18 10:10:00",784772,0.2525,0.005,5.9286
"2020-12-18 10:15:00",784773,0.2525,0.005,5.9227
"2020-12-18 10:20:00",784774,0.2525,0.0052,5.9227
"2020-12-18 10:25:00",784775,0.2523,0.0049,5.8926
"2020-12-18 10:30:00",784776,0.2522,0.0051,5.8926
"2020-12-18 10:35:00",784777,0.2522,0.0051,5.8776
"2020-12-18 10:40:00",784778,0.2522,0.0051,5.8806
"2020-12-18 10:45:00",784779,0.2522,0.0051,5.8536
"2020-12-18 10:50:00",784780,0.2522,0.005,5.8716
"2020-12-18 10:55:00",784781,0.2523,0.0049,5.8385
"2020-12-18 11:00:00",784782,0.2523,0.0049,5.9046
"2020-12-18 11:05:00",784783,0.2522,0.005,5.8836
"2020-12-18 11:10:00",784784,0.2522,0.005,5.8536
"2020-12-18 11:15:00",784785,0.2522,0.005,5.8295
"2020-12-18 11:20:00",784786,0.2522,0.0051,5.8596
"2020-12-18 11:25:00",784787,0.2522,0.005,5.8476
"2020-12-18 11:30:00",784788,0.2522,0.0051,5.8566
"2020-12-18 11:35:00",784789,0.2522,0.0051,5.8416
"2020-12-18 11:40:00",784790,0.2522,0.0052,5.8596
"2020-12-18 11:45:00",784791,0.2523,0.005,5.8476
"2020-12-18 11:50:00",784792,0.2523,0.005,5.8355
"2020-12-18 11:55:00",784793,0.2522,0.005,5.8536
"2020-12-18 12:00:00",784794,0.2522,0.0051,5.9017
"2020-12-18 12:05:00",784795,0.2522,0.005,5.8596
"2020-12-18 12:10:00",784796,0.2522,0.0051,5.8716
"2020-12-18 12:15:00",784797,0.2523,0.005,5.8145
"2020-12-18 12:20:00",784798,0.2522,0.0051,5.8325
"2020-12-18 12:25:00",784799,0.252,0.005,5.8656
"2020-12-18 12:30:00",784800,0.252,0.005,5.8716
"2020-12-18 12:35:00",784801,0.252,0.005,5.8626
"2020-12-18 12:40:00",784802,0.252,0.0051,5.8656
"2020-12-18 12:45:00",784803,0.252,0.005,5.8265
"2020-12-18 12:50:00",784804,0.252,0.005,5.8476
"2020-12-18 12:55:00",784805,0.252,0.005,5.8596
"2020-12-18 13:00:00",784806,0.252,0.005,5.8325
"2020-12-18 13:05:00",784807,0.252,0.0051,5.8506
"2020-12-18 13:10:00",784808,0.252,0.005,5.8325
"2020-12-18 13:15:00",784809,0.252,0.0049,5.8446
"2020-12-18 13:20:00",784810,0.252,0.005,5.8536
"2020-12-18 13:25:00",784811,0.252,0.0049,5.8385
"2020-12-18 13:30:00",784812,0.252,0.0051,5.8596
"2020-12-18 13:35:00",784813,0.252,0.005,5.8776
"2020-12-18 13:40:00",784814,0.252,0.005,5.8265
"2020-12-18 13:45:00",784815,0.252,0.0051,5.7724
"2020-12-18 13:50:00",784816,0.252,0.0051,5.8235
"2020-12-18 13:55:00",784817,0.252,0.005,5.8385
"2020-12-18 14:00:00",784818,0.2519,0.0052,5.8626
"2020-12-18 14:05:00",784819,0.252,0.005,5.8566
"2020-12-18 14:10:00",784820,0.252,0.005,5.8295
"2020-12-18 14:15:00",784821,0.252,0.0051,5.8115
"2020-12-18 14:20:00",784822,0.252,0.005,5.8506
"2020-12-18 14:25:00",784823,0.252,0.005,5.8325
"2020-12-18 14:30:00",784824,0.252,0.005,5.8265
"2020-12-18 14:35:00",784825,0.252,0.0051,5.8025
"2020-12-18 14:40:00",784826,0.252,0.0051,5.8446
"2020-12-18 14:45:00",784827,0.252,0.0052,5.8295
"2020-12-18 14:50:00",784828,0.252,0.005,5.8416
"2020-12-18 14:55:00",784829,0.252,0.005,5.8235
"2020-12-18 15:00:00",784830,0.252,0.0049,5.8115
"2020-12-18 15:05:00",784831,0.2517,0.005,5.8205
"2020-12-18 15:10:00",784832,0.2517,0.0051,5.7965
