"TOA5","Schafhof5","CR200X","No_SN","CR200X.Std.01","Messung.CR2","20312","Table2"
"TIMESTAMP","RECORD","BattV_Min","VWC_2_Avg","EC_2_Avg","T_2_Avg"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C"
"","","Min","Avg","Avg","Avg"
"2021-01-16 03:45:00",839679,13.1708,0.3243,0.0012,4.595
"2021-01-16 03:50:00",839680,13.16912,0.3243,0.0012,4.5827
"2021-01-16 03:55:00",839681,13.17415,0.3243,0.0012,4.6103
"2021-01-16 04:00:00",839682,13.16828,0.3243,0.0011,4.5735
"2021-01-16 04:05:00",839683,13.16744,0.3243,0.0011,4.598
"2021-01-16 04:10:00",839684,13.17583,0.3243,0.0011,4.5827
"2021-01-16 04:15:00",839685,13.16408,0.3243,0.0011,4.5889
"2021-01-16 04:20:00",839686,13.1666,0.3241,0.0011,4.595
"2021-01-16 04:25:00",839687,13.16912,0.3241,0.0012,4.6133
"2021-01-16 04:30:00",839688,13.17499,0.3241,0.0012,4.598
"2021-01-16 04:35:00",839689,13.16408,0.3241,0.0012,4.6041
"2021-01-16 04:40:00",839690,13.17331,0.3241,0.0012,4.5827
"2021-01-16 04:45:00",839691,13.17247,0.3241,0.0012,4.595
"2021-01-16 04:50:00",839692,13.17499,0.3241,0.0012,4.6011
"2021-01-16 04:55:00",839693,13.1708,0.3241,0.0011,4.5858
"2021-01-16 05:00:00",839694,13.17163,0.3241,0.0012,4.5827
"2021-01-16 05:05:00",839695,13.16492,0.3241,0.0011,4.598
"2021-01-16 05:10:00",839696,13.17415,0.3241,0.0013,4.5766
"2021-01-16 05:15:00",839697,13.1708,0.3241,0.0012,4.6195
"2021-01-16 05:20:00",839698,13.1666,0.3241,0.0011,4.5827
"2021-01-16 05:25:00",839699,13.16408,0.3241,0.0011,4.6011
"2021-01-16 05:30:00",839700,13.16828,0.3241,0.0011,4.5735
"2021-01-16 05:35:00",839701,13.16996,0.3241,0.0012,4.6072
"2021-01-16 05:40:00",839702,13.17415,0.3241,0.0012,4.5889
"2021-01-16 05:45:00",839703,13.16576,0.3241,0.0011,4.6378
"2021-01-16 05:50:00",839704,13.17247,0.3241,0.0011,4.598
"2021-01-16 05:55:00",839705,13.16408,0.3241,0.0012,4.6133
"2021-01-16 06:00:00",839706,13.17331,0.3241,0.0011,4.5889
"2021-01-16 06:05:00",839707,13.1624,0.3241,0.0012,4.6133
"2021-01-16 06:10:00",839708,13.16912,0.3241,0.0011,4.5368
"2021-01-16 06:15:00",839709,13.17163,0.3238,0.0012,4.6072
"2021-01-16 06:20:00",839710,13.1708,0.3238,0.0011,4.5368
"2021-01-16 06:25:00",839711,13.16744,0.3238,0.0011,4.595
"2021-01-16 06:30:00",839712,13.17247,0.3238,0.0012,4.5858
"2021-01-16 06:35:00",839713,13.1666,0.3238,0.0011,4.5613
"2021-01-16 06:40:00",839714,13.1708,0.3238,0.001,4.5827
"2021-01-16 06:45:00",839715,13.16408,0.3238,0.0012,4.6011
"2021-01-16 06:50:00",839716,13.17415,0.3238,0.0012,4.5889
