"Plot Title: Schafhof"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10177318, SEN S/N: 10177318)","Cum. Sum: Niederschlag, mm (LGR S/N: 10177318)","Coupler Attached (LGR S/N: 10177318)","Host Connected (LGR S/N: 10177318)","Stopped (LGR S/N: 10177318)","End Of File (LGR S/N: 10177318)"
1,05/08/21 11:00:00 AM,15.951,0.0,,,,
2,05/08/21 11:05:00 AM,,0.0,,,,
3,05/08/21 11:10:00 AM,,0.0,,,,
4,05/08/21 11:15:00 AM,,0.0,,,,
5,05/08/21 11:20:00 AM,,0.0,,,,
6,05/08/21 11:25:00 AM,,0.0,,,,
7,05/08/21 11:30:00 AM,17.284,0.0,,,,
8,05/08/21 11:35:00 AM,,0.0,,,,
9,05/08/21 11:40:00 AM,,0.0,,,,
10,05/08/21 11:45:00 AM,,0.0,,,,
11,05/08/21 11:50:00 AM,,0.0,,,,
12,05/08/21 11:55:00 AM,,0.0,,,,
13,05/08/21 12:00:00 PM,16.808,0.0,,,,
14,05/08/21 12:05:00 PM,,0.0,,,,
15,05/08/21 12:10:00 PM,,0.0,,,,
16,05/08/21 12:15:00 PM,,0.0,,,,
17,05/08/21 12:20:00 PM,,0.0,,,,
18,05/08/21 12:25:00 PM,,0.0,,,,
19,05/08/21 12:30:00 PM,16.618,0.0,,,,
20,05/08/21 12:35:00 PM,,0.0,,,,
21,05/08/21 12:40:00 PM,,0.0,,,,
22,05/08/21 12:45:00 PM,,0.0,,,,
23,05/08/21 12:50:00 PM,,0.0,,,,
24,05/08/21 12:55:00 PM,,0.0,,,,
25,05/08/21 01:00:00 PM,16.523,0.0,,,,
26,05/08/21 01:05:00 PM,,0.0,,,,
27,05/08/21 01:10:00 PM,,0.0,,,,
28,05/08/21 01:15:00 PM,,0.0,,,,
29,05/08/21 01:20:00 PM,,0.0,,,,
30,05/08/21 01:25:00 PM,,0.0,,,,
31,05/08/21 01:30:00 PM,17.094,0.0,,,,
32,05/08/21 01:35:00 PM,,0.0,,,,
33,05/08/21 01:40:00 PM,,0.0,,,,
34,05/08/21 01:45:00 PM,,0.0,,,,
35,05/08/21 01:50:00 PM,,0.0,,,,
36,05/08/21 01:55:00 PM,,0.0,,,,
37,05/08/21 02:00:00 PM,16.999,0.0,,,,
38,05/08/21 02:05:00 PM,,0.0,,,,
39,05/08/21 02:10:00 PM,,0.0,,,,
40,05/08/21 02:15:00 PM,,0.0,,,,
41,05/08/21 02:20:00 PM,,0.0,,,,
42,05/08/21 02:25:00 PM,,0.0,,,,
43,05/08/21 02:30:00 PM,17.379,0.0,,,,
44,05/08/21 02:35:00 PM,,0.0,,,,
45,05/08/21 02:40:00 PM,,0.0,,,,
46,05/08/21 02:45:00 PM,,0.0,,,,
47,05/08/21 02:50:00 PM,,0.0,,,,
48,05/08/21 02:55:00 PM,,0.0,,,,
49,05/08/21 03:00:00 PM,17.855,0.0,,,,
50,05/08/21 03:05:00 PM,,0.0,,,,
51,05/08/21 03:10:00 PM,,0.0,,,,
52,05/08/21 03:15:00 PM,,0.0,,,,
53,05/08/21 03:20:00 PM,,0.0,,,,
54,05/08/21 03:25:00 PM,,0.0,,,,
55,05/08/21 03:30:00 PM,17.475,0.0,,,,
56,05/08/21 03:35:00 PM,,0.0,,,,
57,05/08/21 03:40:00 PM,,0.0,,,,
58,05/08/21 03:45:00 PM,,0.0,,,,
59,05/08/21 03:50:00 PM,,0.0,,,,
60,05/08/21 03:55:00 PM,,0.0,,,,
61,05/08/21 04:00:00 PM,17.760,0.0,,,,
62,05/08/21 04:05:00 PM,,0.0,,,,
63,05/08/21 04:10:00 PM,,0.0,,,,
64,05/08/21 04:15:00 PM,,0.0,,,,
65,05/08/21 04:20:00 PM,,0.0,,,,
66,05/08/21 04:25:00 PM,,0.0,,,,
67,05/08/21 04:30:00 PM,17.855,0.0,,,,
68,05/08/21 04:35:00 PM,,0.0,,,,
69,05/08/21 04:40:00 PM,,0.0,,,,
70,05/08/21 04:45:00 PM,,0.0,,,,
71,05/08/21 04:50:00 PM,,0.0,,,,
72,05/08/21 04:55:00 PM,,0.0,,,,
73,05/08/21 05:00:00 PM,16.999,0.0,,,,
74,05/08/21 05:05:00 PM,,0.0,,,,
75,05/08/21 05:10:00 PM,,0.0,,,,
76,05/08/21 05:15:00 PM,,0.0,,,,
77,05/08/21 05:20:00 PM,,0.0,,,,
78,05/08/21 05:25:00 PM,,0.0,,,,
79,05/08/21 05:30:00 PM,15.760,0.0,,,,
80,05/08/21 05:35:00 PM,,0.0,,,,
81,05/08/21 05:40:00 PM,,0.0,,,,
82,05/08/21 05:45:00 PM,,0.0,,,,
83,05/08/21 05:50:00 PM,,0.0,,,,
84,05/08/21 05:55:00 PM,,0.0,,,,
85,05/08/21 06:00:00 PM,13.654,0.0,,,,
86,05/08/21 06:05:00 PM,,0.0,,,,
87,05/08/21 06:10:00 PM,,0.0,,,,
88,05/08/21 06:15:00 PM,,0.0,,,,
89,05/08/21 06:20:00 PM,,0.0,,,,
90,05/08/21 06:25:00 PM,,0.0,,,,
91,05/08/21 06:30:00 PM,12.401,0.0,,,,
92,05/08/21 06:35:00 PM,,0.0,,,,
93,05/08/21 06:40:00 PM,,0.0,,,,
94,05/08/21 06:45:00 PM,,0.0,,,,
95,05/08/21 06:50:00 PM,,0.0,,,,
96,05/08/21 06:55:00 PM,,0.0,,,,
97,05/08/21 07:00:00 PM,11.916,0.0,,,,
98,05/08/21 07:05:00 PM,,0.0,,,,
99,05/08/21 07:10:00 PM,,0.0,,,,
100,05/08/21 07:15:00 PM,,0.0,,,,
101,05/08/21 07:20:00 PM,,0.0,,,,
102,05/08/21 07:25:00 PM,,0.0,,,,
103,05/08/21 07:30:00 PM,12.401,0.0,,,,
104,05/08/21 07:35:00 PM,,0.0,,,,
105,05/08/21 07:40:00 PM,,0.0,,,,
106,05/08/21 07:45:00 PM,,0.0,,,,
107,05/08/21 07:50:00 PM,,0.0,,,,
108,05/08/21 07:55:00 PM,,0.0,,,,
109,05/08/21 08:00:00 PM,11.334,0.0,,,,
110,05/08/21 08:05:00 PM,,0.0,,,,
111,05/08/21 08:10:00 PM,,0.0,,,,
112,05/08/21 08:15:00 PM,,0.0,,,,
113,05/08/21 08:20:00 PM,,0.0,,,,
114,05/08/21 08:25:00 PM,,0.0,,,,
115,05/08/21 08:30:00 PM,11.139,0.0,,,,
116,05/08/21 08:35:00 PM,,0.0,,,,
117,05/08/21 08:40:00 PM,,0.0,,,,
118,05/08/21 08:45:00 PM,,0.0,,,,
119,05/08/21 08:50:00 PM,,0.0,,,,
120,05/08/21 08:55:00 PM,,0.0,,,,
121,05/08/21 09:00:00 PM,11.236,0.0,,,,
122,05/08/21 09:05:00 PM,,0.0,,,,
123,05/08/21 09:10:00 PM,,0.0,,,,
124,05/08/21 09:15:00 PM,,0.0,,,,
125,05/08/21 09:20:00 PM,,0.0,,,,
126,05/08/21 09:25:00 PM,,0.0,,,,
127,05/08/21 09:30:00 PM,13.365,0.0,,,,
128,05/08/21 09:35:00 PM,,0.0,,,,
129,05/08/21 09:40:00 PM,,0.0,,,,
130,05/08/21 09:45:00 PM,,0.0,,,,
131,05/08/21 09:50:00 PM,,0.0,,,,
132,05/08/21 09:55:00 PM,,0.0,,,,
133,05/08/21 10:00:00 PM,13.461,0.0,,,,
134,05/08/21 10:05:00 PM,,0.0,,,,
135,05/08/21 10:10:00 PM,,0.0,,,,
136,05/08/21 10:15:00 PM,,0.0,,,,
