DateTimeUTC,DataValue,Warning
16.11.2012 13:00,7.983,
16.11.2012 13:30,7.682,
16.11.2012 14:00,7.28,
16.11.2012 14:30,7.079,
16.11.2012 15:00,7.179,
16.11.2012 15:30,6.674,
16.11.2012 16:00,5.962,
16.11.2012 16:30,6.573,
16.11.2012 17:00,6.573,
16.11.2012 17:30,6.166,
16.11.2012 18:00,6.064,
16.11.2012 18:30,6.166,
16.11.2012 19:00,6.166,
16.11.2012 19:30,6.37,
16.11.2012 20:00,6.064,
16.11.2012 20:30,5.552,
16.11.2012 21:00,5.655,
16.11.2012 21:30,5.655,
16.11.2012 22:00,5.86,
16.11.2012 22:30,6.166,
16.11.2012 23:00,6.37,
16.11.2012 23:30,6.064,
17.11.2012 00:00,5.86,
17.11.2012 00:30,5.655,
17.11.2012 01:00,5.45,
17.11.2012 01:30,5.86,
17.11.2012 02:00,5.757,
17.11.2012 02:30,4.831,
17.11.2012 03:00,4.831,
17.11.2012 03:30,4.623,
17.11.2012 04:00,4.727,
17.11.2012 04:30,4.207,
17.11.2012 05:00,4.519,
17.11.2012 05:30,3.788,
17.11.2012 06:00,4.102,
17.11.2012 06:30,3.049,
17.11.2012 07:00,3.367,
17.11.2012 07:30,3.788,
17.11.2012 08:00,4.831,
17.11.2012 08:30,6.37,
17.11.2012 09:00,6.775,
17.11.2012 09:30,6.064,
17.11.2012 10:00,5.757,
17.11.2012 10:30,5.962,
17.11.2012 11:00,6.166,
17.11.2012 11:30,6.775,
17.11.2012 12:00,7.079,
17.11.2012 12:30,7.481,
17.11.2012 13:00,7.481,
17.11.2012 13:30,7.079,
17.11.2012 14:00,6.674,
17.11.2012 14:30,6.268,
17.11.2012 15:00,6.37,
17.11.2012 15:30,5.552,
17.11.2012 16:00,4.727,
17.11.2012 16:30,4.623,
17.11.2012 17:00,5.037,
17.11.2012 17:30,5.552,
17.11.2012 18:00,5.45,
17.11.2012 18:30,5.347,
17.11.2012 19:00,5.244,
17.11.2012 19:30,5.244,
17.11.2012 20:00,5.962,
17.11.2012 20:30,6.573,
17.11.2012 21:00,6.775,
17.11.2012 21:30,6.674,
17.11.2012 22:00,6.775,
17.11.2012 22:30,6.573,
17.11.2012 23:00,6.573,
17.11.2012 23:30,5.86,
18.11.2012 00:00,6.471,
18.11.2012 00:30,6.471,
18.11.2012 01:00,5.552,
18.11.2012 01:30,5.757,
18.11.2012 02:00,5.45,
18.11.2012 02:30,5.86,
18.11.2012 03:00,5.757,
18.11.2012 03:30,5.655,
18.11.2012 04:00,5.655,
18.11.2012 04:30,5.552,
18.11.2012 05:00,4.102,
18.11.2012 05:30,3.788,
18.11.2012 06:00,3.998,
18.11.2012 06:30,3.998,
18.11.2012 07:00,4.207,
18.11.2012 07:30,4.831,
18.11.2012 08:00,4.831,
18.11.2012 08:30,5.037,
18.11.2012 09:00,5.962,
18.11.2012 09:30,6.37,
18.11.2012 10:00,6.268,
18.11.2012 10:30,6.775,
18.11.2012 11:00,7.481,
18.11.2012 11:30,7.582,
18.11.2012 12:00,7.983,
18.11.2012 12:30,8.68,
18.11.2012 13:00,8.779,
18.11.2012 13:30,9.176,
18.11.2012 14:00,9.275,
18.11.2012 14:30,7.983,
18.11.2012 15:00,6.573,
18.11.2012 15:30,5.86,
18.11.2012 16:00,5.244,
18.11.2012 16:30,5.037,
18.11.2012 17:00,4.519,
18.11.2012 17:30,3.683,
18.11.2012 18:00,4.207,
18.11.2012 18:30,3.893,
18.11.2012 19:00,3.367,
18.11.2012 19:30,3.049,
18.11.2012 20:00,3.578,
18.11.2012 20:30,3.578,
18.11.2012 21:00,3.683,
18.11.2012 21:30,3.367,
18.11.2012 22:00,3.367,
18.11.2012 22:30,3.578,
18.11.2012 23:00,3.578,
18.11.2012 23:30,2.837,
19.11.2012 00:00,3.049,
19.11.2012 00:30,3.155,
19.11.2012 01:00,3.683,
19.11.2012 01:30,3.578,
19.11.2012 02:00,3.998,
19.11.2012 02:30,3.788,
19.11.2012 03:00,3.472,
19.11.2012 03:30,2.837,
19.11.2012 04:00,2.73,
19.11.2012 04:30,2.943,
19.11.2012 05:00,2.41,
19.11.2012 05:30,2.517,
19.11.2012 06:00,2.195,
19.11.2012 06:30,2.517,
19.11.2012 07:00,2.41,
19.11.2012 07:30,2.943,
19.11.2012 08:00,3.683,
19.11.2012 08:30,4.102,
19.11.2012 09:00,3.893,
19.11.2012 09:30,4.623,
19.11.2012 10:00,5.141,
19.11.2012 10:30,5.347,
19.11.2012 11:00,5.552,
19.11.2012 11:30,5.757,
19.11.2012 12:00,5.655,
19.11.2012 12:30,6.064,
19.11.2012 13:00,5.757,
19.11.2012 13:30,5.86,
19.11.2012 14:00,5.347,
19.11.2012 14:30,4.727,
19.11.2012 15:00,4.207,
19.11.2012 15:30,3.578,
19.11.2012 16:00,2.943,
19.11.2012 16:30,2.303,
19.11.2012 17:00,2.73,
19.11.2012 17:30,2.088,
19.11.2012 18:00,1.764,
19.11.2012 18:30,1.98,
19.11.2012 19:00,1.764,
19.11.2012 19:30,1.548,
19.11.2012 20:00,1.221,
19.11.2012 20:30,0.784,
19.11.2012 21:00,0.784,
19.11.2012 21:30,1.548,
19.11.2012 22:00,1.656,
19.11.2012 22:30,1.112,
19.11.2012 23:00,1.548,
19.11.2012 23:30,1.33,
20.11.2012 00:00,1.98,
20.11.2012 00:30,1.764,
20.11.2012 01:00,1.764,
20.11.2012 01:30,1.764,
20.11.2012 02:00,1.439,
20.11.2012 02:30,1.112,
20.11.2012 03:00,0.893,
20.11.2012 03:30,0.893,
20.11.2012 04:00,1.003,
20.11.2012 04:30,1.548,
20.11.2012 05:00,1.656,
20.11.2012 05:30,1.003,
20.11.2012 06:00,1.221,
20.11.2012 06:30,1.003,
20.11.2012 07:00,0.784,
20.11.2012 07:30,1.548,
20.11.2012 08:00,2.517,
20.11.2012 08:30,3.472,
20.11.2012 09:00,4.102,
20.11.2012 09:30,4.102,
20.11.2012 10:00,4.311,
20.11.2012 10:30,4.311,
20.11.2012 11:00,4.623,
20.11.2012 11:30,4.623,
20.11.2012 12:00,5.037,
20.11.2012 12:30,5.244,
20.11.2012 13:00,4.934,
20.11.2012 13:30,5.141,
20.11.2012 14:00,4.415,
20.11.2012 14:30,4.311,
20.11.2012 15:00,3.683,
20.11.2012 15:30,3.367,
20.11.2012 16:00,2.837,
20.11.2012 16:30,2.088,
20.11.2012 17:00,1.98,
20.11.2012 17:30,2.195,
20.11.2012 18:00,3.049,
20.11.2012 18:30,3.893,
20.11.2012 19:00,3.367,
20.11.2012 19:30,3.367,
20.11.2012 20:00,3.367,
20.11.2012 20:30,3.155,
