DateTimeUTC,DataValue,Warning
26.11.2012 12:00,13.558,
26.11.2012 12:30,12.69,
26.11.2012 13:00,12.207,
26.11.2012 13:30,12.401,
26.11.2012 14:00,12.11,
26.11.2012 14:30,11.916,
26.11.2012 15:00,11.139,
26.11.2012 15:30,10.063,
26.11.2012 16:00,9.768,
26.11.2012 16:30,10.063,
26.11.2012 17:00,9.965,
26.11.2012 17:30,9.669,
26.11.2012 18:00,9.275,
26.11.2012 18:30,9.176,
26.11.2012 19:00,9.077,
26.11.2012 19:30,8.978,
26.11.2012 20:00,8.879,
26.11.2012 20:30,8.879,
26.11.2012 21:00,8.779,
26.11.2012 21:30,8.779,
26.11.2012 22:00,8.68,
26.11.2012 22:30,8.68,
26.11.2012 23:00,8.68,
26.11.2012 23:30,8.879,
27.11.2012 00:00,8.779,
27.11.2012 00:30,8.581,
27.11.2012 01:00,8.382,
27.11.2012 01:30,8.382,
27.11.2012 02:00,8.68,
27.11.2012 02:30,8.581,
27.11.2012 03:00,8.082,
27.11.2012 03:30,8.382,
27.11.2012 04:00,8.182,
27.11.2012 04:30,7.983,
27.11.2012 05:00,7.582,
27.11.2012 05:30,7.179,
27.11.2012 06:00,6.978,
27.11.2012 06:30,6.877,
27.11.2012 07:00,6.674,
27.11.2012 07:30,6.674,
27.11.2012 08:00,6.775,
27.11.2012 08:30,7.481,
27.11.2012 09:00,7.782,
27.11.2012 09:30,7.882,
27.11.2012 10:00,8.282,
27.11.2012 10:30,8.382,
27.11.2012 11:00,8.182,
27.11.2012 11:30,7.782,
27.11.2012 12:00,7.983,
27.11.2012 12:30,7.582,
27.11.2012 13:00,7.481,
27.11.2012 13:30,7.481,
27.11.2012 14:00,7.682,
27.11.2012 14:30,7.682,
27.11.2012 15:00,7.381,
27.11.2012 15:30,6.978,
27.11.2012 16:00,6.573,
27.11.2012 16:30,6.573,
27.11.2012 17:00,6.573,
27.11.2012 17:30,6.471,
27.11.2012 18:00,6.471,
27.11.2012 18:30,6.573,
27.11.2012 19:00,6.471,
27.11.2012 19:30,6.471,
27.11.2012 20:00,6.37,
27.11.2012 20:30,6.37,
27.11.2012 21:00,6.166,
27.11.2012 21:30,6.166,
27.11.2012 22:00,6.268,
27.11.2012 22:30,6.268,
27.11.2012 23:00,6.268,
27.11.2012 23:30,6.37,
28.11.2012 00:00,6.268,
28.11.2012 00:30,6.268,
28.11.2012 01:00,6.268,
28.11.2012 01:30,6.268,
28.11.2012 02:00,6.268,
28.11.2012 02:30,6.268,
28.11.2012 03:00,6.268,
28.11.2012 03:30,6.166,
28.11.2012 04:00,6.268,
28.11.2012 04:30,6.37,
28.11.2012 05:00,6.37,
28.11.2012 05:30,6.37,
28.11.2012 06:00,6.37,
28.11.2012 06:30,6.471,
28.11.2012 07:00,6.471,
28.11.2012 07:30,6.573,
28.11.2012 08:00,6.674,
28.11.2012 08:30,6.877,
28.11.2012 09:00,7.179,
28.11.2012 09:30,7.481,
28.11.2012 10:00,7.481,
28.11.2012 10:30,7.381,
28.11.2012 11:00,7.28,
28.11.2012 11:30,7.079,
28.11.2012 12:00,6.674,
28.11.2012 12:30,6.573,
28.11.2012 13:00,6.471,
28.11.2012 13:30,6.37,
28.11.2012 14:00,6.37,
28.11.2012 14:30,6.268,
28.11.2012 15:00,6.268,
28.11.2012 15:30,6.166,
28.11.2012 16:00,6.064,
28.11.2012 16:30,6.064,
28.11.2012 17:00,6.064,
28.11.2012 17:30,6.064,
28.11.2012 18:00,5.962,
28.11.2012 18:30,5.86,
28.11.2012 19:00,5.655,
28.11.2012 19:30,5.655,
28.11.2012 20:00,5.655,
28.11.2012 20:30,5.655,
28.11.2012 21:00,5.552,
28.11.2012 21:30,5.552,
28.11.2012 22:00,5.552,
28.11.2012 22:30,5.45,
28.11.2012 23:00,5.45,
28.11.2012 23:30,5.347,
29.11.2012 00:00,5.347,
29.11.2012 00:30,5.141,
29.11.2012 01:00,4.831,
29.11.2012 01:30,4.623,
29.11.2012 02:00,4.415,
29.11.2012 02:30,4.207,
29.11.2012 03:00,3.998,
29.11.2012 03:30,3.893,
29.11.2012 04:00,3.578,
29.11.2012 04:30,3.155,
29.11.2012 05:00,3.049,
29.11.2012 05:30,3.578,
29.11.2012 06:00,3.788,
29.11.2012 06:30,3.578,
29.11.2012 07:00,3.788,
29.11.2012 07:30,3.788,
29.11.2012 08:00,3.998,
29.11.2012 08:30,4.102,
29.11.2012 09:00,3.998,
29.11.2012 09:30,4.207,
29.11.2012 10:00,4.311,
29.11.2012 10:30,3.998,
29.11.2012 11:00,3.893,
29.11.2012 11:30,4.102,
29.11.2012 12:00,4.207,
29.11.2012 12:30,3.893,
29.11.2012 13:00,3.683,
29.11.2012 13:30,3.683,
29.11.2012 14:00,3.578,
29.11.2012 14:30,3.367,
29.11.2012 15:00,3.261,
29.11.2012 15:30,3.155,
29.11.2012 16:00,2.624,
29.11.2012 16:30,2.303,
29.11.2012 17:00,2.088,
29.11.2012 17:30,2.195,
29.11.2012 18:00,2.195,
29.11.2012 18:30,2.303,
29.11.2012 19:00,2.303,
29.11.2012 19:30,2.303,
29.11.2012 20:00,2.303,
29.11.2012 20:30,2.41,
29.11.2012 21:00,2.303,
29.11.2012 21:30,2.303,
29.11.2012 22:00,2.195,
29.11.2012 22:30,2.303,
29.11.2012 23:00,2.195,
29.11.2012 23:30,2.088,
30.11.2012 00:00,2.088,
30.11.2012 00:30,1.98,
30.11.2012 01:00,1.872,
30.11.2012 01:30,1.764,
30.11.2012 02:00,1.764,
30.11.2012 02:30,1.656,
30.11.2012 03:00,1.548,
30.11.2012 03:30,1.656,
30.11.2012 04:00,1.656,
30.11.2012 04:30,1.656,
30.11.2012 05:00,1.656,
30.11.2012 05:30,1.764,
30.11.2012 06:00,1.764,
30.11.2012 06:30,1.872,
30.11.2012 07:00,1.872,
30.11.2012 07:30,1.98,
30.11.2012 08:00,2.088,
30.11.2012 08:30,2.303,
30.11.2012 09:00,2.943,
30.11.2012 09:30,3.155,
30.11.2012 10:00,6.674,
30.11.2012 10:30,7.28,
30.11.2012 11:00,6.674,
30.11.2012 11:30,8.779,
30.11.2012 12:00,8.68,
30.11.2012 12:30,7.983,
30.11.2012 13:00,7.582,
30.11.2012 13:30,6.268,
30.11.2012 14:00,6.877,
30.11.2012 14:30,7.28,
30.11.2012 15:00,5.86,
30.11.2012 15:30,3.261,
30.11.2012 16:00,2.195,
30.11.2012 16:30,1.33,
30.11.2012 17:00,1.221,
30.11.2012 17:30,1.439,
30.11.2012 18:00,1.439,
30.11.2012 18:30,1.112,
30.11.2012 19:00,1.003,
30.11.2012 19:30,1.003,
30.11.2012 20:00,1.112,
30.11.2012 20:30,0.563,
30.11.2012 21:00,-0.213,
30.11.2012 21:30,-0.102,
30.11.2012 22:00,-0.325,
30.11.2012 22:30,-0.549,
30.11.2012 23:00,-0.662,
30.11.2012 23:30,-0.774,
01.12.2012 00:00,-1.114,
01.12.2012 00:30,-1.228,
01.12.2012 01:00,-1.228,
01.12.2012 01:30,-1.456,
01.12.2012 02:00,-1.57,
01.12.2012 02:30,-1.684,
01.12.2012 03:00,-1.914,
01.12.2012 03:30,-2.145,
01.12.2012 04:00,-2.261,
01.12.2012 04:30,-2.261,
01.12.2012 05:00,-2.03,
01.12.2012 05:30,-2.145,
01.12.2012 06:00,-2.844,
01.12.2012 06:30,-2.844,
01.12.2012 07:00,-2.844,
01.12.2012 07:30,-2.61,
01.12.2012 08:00,-1.456,
01.12.2012 08:30,3.049,
01.12.2012 09:00,5.037,
01.12.2012 09:30,5.655,
01.12.2012 10:00,5.244,
01.12.2012 10:30,6.064,
01.12.2012 11:00,6.877,
01.12.2012 11:30,7.179,
01.12.2012 12:00,6.37,
01.12.2012 12:30,6.978,
01.12.2012 13:00,5.86,
01.12.2012 13:30,6.775,
01.12.2012 14:00,5.962,
01.12.2012 14:30,4.519,
01.12.2012 15:00,2.41,
01.12.2012 15:30,0.893,
01.12.2012 16:00,0.343,
