DateTimeUTC,DataValue,Warning
16.11.2012 12:00,6.268,
16.11.2012 12:30,4.311,
16.11.2012 13:00,7.481,
16.11.2012 13:30,5.552,
16.11.2012 14:00,5.757,
16.11.2012 14:30,6.064,
16.11.2012 15:00,6.268,
16.11.2012 15:30,5.244,
16.11.2012 16:00,4.207,
16.11.2012 16:30,4.311,
16.11.2012 17:00,4.311,
16.11.2012 17:30,5.141,
16.11.2012 18:00,5.347,
16.11.2012 18:30,5.962,
16.11.2012 19:00,5.962,
16.11.2012 19:30,5.962,
16.11.2012 20:00,5.962,
16.11.2012 20:30,5.552,
16.11.2012 21:00,4.727,
16.11.2012 21:30,5.141,
16.11.2012 22:00,5.655,
16.11.2012 22:30,5.655,
16.11.2012 23:00,5.141,
16.11.2012 23:30,5.757,
17.11.2012 00:00,4.831,
17.11.2012 00:30,5.552,
17.11.2012 01:00,0.453,
17.11.2012 01:30,3.578,
17.11.2012 02:00,5.347,
17.11.2012 02:30,3.683,
17.11.2012 03:00,3.788,
17.11.2012 03:30,4.311,
17.11.2012 04:00,5.244,
17.11.2012 04:30,5.244,
17.11.2012 05:00,5.552,
17.11.2012 05:30,5.757,
17.11.2012 06:00,5.757,
17.11.2012 06:30,5.141,
17.11.2012 07:00,4.727,
17.11.2012 07:30,4.207,
17.11.2012 08:00,4.934,
17.11.2012 08:30,5.347,
17.11.2012 09:00,5.86,
17.11.2012 09:30,6.37,
17.11.2012 10:00,6.37,
17.11.2012 10:30,7.079,
17.11.2012 11:00,7.481,
17.11.2012 11:30,8.581,
17.11.2012 12:00,8.382,
17.11.2012 12:30,8.779,
17.11.2012 13:00,10.651,
17.11.2012 13:30,9.077,
17.11.2012 14:00,8.282,
17.11.2012 14:30,7.582,
17.11.2012 15:00,7.782,
17.11.2012 15:30,6.877,
17.11.2012 16:00,7.079,
17.11.2012 16:30,6.978,
17.11.2012 17:00,6.573,
17.11.2012 17:30,6.166,
17.11.2012 18:00,6.37,
17.11.2012 18:30,6.775,
17.11.2012 19:00,5.962,
17.11.2012 19:30,5.655,
17.11.2012 20:00,5.757,
17.11.2012 20:30,6.877,
17.11.2012 21:00,7.682,
17.11.2012 21:30,6.978,
17.11.2012 22:00,7.381,
17.11.2012 22:30,7.28,
17.11.2012 23:00,7.28,
17.11.2012 23:30,6.775,
18.11.2012 00:00,6.978,
18.11.2012 00:30,7.481,
18.11.2012 01:00,6.573,
18.11.2012 01:30,5.962,
18.11.2012 02:00,6.471,
18.11.2012 02:30,6.471,
18.11.2012 03:00,6.775,
18.11.2012 03:30,7.079,
18.11.2012 04:00,6.674,
18.11.2012 04:30,6.37,
18.11.2012 05:00,5.347,
18.11.2012 05:30,4.415,
18.11.2012 06:00,4.623,
18.11.2012 06:30,4.519,
18.11.2012 07:00,4.415,
18.11.2012 07:30,5.141,
18.11.2012 08:00,5.962,
18.11.2012 08:30,6.775,
18.11.2012 09:00,6.573,
18.11.2012 09:30,7.179,
18.11.2012 10:00,7.28,
18.11.2012 10:30,7.179,
18.11.2012 11:00,7.882,
18.11.2012 11:30,7.481,
18.11.2012 12:00,7.582,
18.11.2012 12:30,7.882,
18.11.2012 13:00,9.571,
18.11.2012 13:30,9.176,
18.11.2012 14:00,9.275,
18.11.2012 14:30,8.581,
18.11.2012 15:00,7.983,
18.11.2012 15:30,6.978,
18.11.2012 16:00,6.268,
18.11.2012 16:30,6.37,
18.11.2012 17:00,6.877,
18.11.2012 17:30,6.471,
18.11.2012 18:00,5.347,
18.11.2012 18:30,5.655,
18.11.2012 19:00,5.962,
18.11.2012 19:30,5.45,
18.11.2012 20:00,5.655,
18.11.2012 20:30,6.064,
18.11.2012 21:00,6.166,
18.11.2012 21:30,4.831,
18.11.2012 22:00,5.45,
18.11.2012 22:30,5.757,
18.11.2012 23:00,5.655,
18.11.2012 23:30,6.268,
19.11.2012 00:00,6.674,
19.11.2012 00:30,5.552,
19.11.2012 01:00,4.934,
19.11.2012 01:30,4.727,
19.11.2012 02:00,4.623,
19.11.2012 02:30,4.623,
19.11.2012 03:00,4.934,
19.11.2012 03:30,5.552,
19.11.2012 04:00,5.757,
19.11.2012 04:30,5.552,
19.11.2012 05:00,6.064,
19.11.2012 05:30,5.552,
19.11.2012 06:00,5.347,
19.11.2012 06:30,4.831,
19.11.2012 07:00,4.727,
19.11.2012 07:30,5.037,
19.11.2012 08:00,5.037,
19.11.2012 08:30,5.45,
19.11.2012 09:00,6.37,
19.11.2012 09:30,6.674,
19.11.2012 10:00,7.582,
19.11.2012 10:30,7.983,
19.11.2012 11:00,8.182,
19.11.2012 11:30,8.182,
19.11.2012 12:00,8.082,
19.11.2012 12:30,7.882,
19.11.2012 13:00,8.879,
19.11.2012 13:30,8.082,
19.11.2012 14:00,7.882,
19.11.2012 14:30,7.882,
19.11.2012 15:00,8.182,
19.11.2012 15:30,6.573,
19.11.2012 16:00,5.757,
19.11.2012 16:30,5.347,
19.11.2012 17:00,5.347,
19.11.2012 17:30,5.347,
19.11.2012 18:00,4.519,
19.11.2012 18:30,4.519,
19.11.2012 19:00,5.45,
19.11.2012 19:30,4.623,
19.11.2012 20:00,5.244,
19.11.2012 20:30,5.141,
19.11.2012 21:00,5.141,
19.11.2012 21:30,4.415,
19.11.2012 22:00,4.519,
19.11.2012 22:30,3.788,
19.11.2012 23:00,3.788,
19.11.2012 23:30,4.207,
20.11.2012 00:00,4.311,
20.11.2012 00:30,4.311,
20.11.2012 01:00,3.893,
20.11.2012 01:30,4.207,
20.11.2012 02:00,4.311,
20.11.2012 02:30,3.472,
20.11.2012 03:00,4.102,
20.11.2012 03:30,3.683,
20.11.2012 04:00,3.472,
20.11.2012 04:30,3.998,
20.11.2012 05:00,4.727,
20.11.2012 05:30,2.73,
20.11.2012 06:00,2.73,
20.11.2012 06:30,2.303,
20.11.2012 07:00,2.195,
20.11.2012 07:30,2.73,
20.11.2012 08:00,2.517,
20.11.2012 08:30,2.837,
20.11.2012 09:00,2.837,
20.11.2012 09:30,3.049,
20.11.2012 10:00,2.943,
20.11.2012 10:30,2.624,
20.11.2012 11:00,3.049,
20.11.2012 11:30,1.872,
20.11.2012 12:00,4.623,
20.11.2012 12:30,2.517,
20.11.2012 13:00,2.837,
20.11.2012 13:30,2.41,
20.11.2012 14:00,2.303,
20.11.2012 14:30,5.037,
20.11.2012 15:00,5.552,
20.11.2012 15:30,4.415,
20.11.2012 16:00,4.519,
20.11.2012 16:30,2.303,
20.11.2012 17:00,3.367,
20.11.2012 17:30,2.837,
20.11.2012 18:00,3.049,
20.11.2012 18:30,3.788,
20.11.2012 19:00,3.788,
20.11.2012 19:30,3.578,
