tstamp,air_temperature
2015-03-13 12:12:03,14.23
2015-03-13 12:42:03,12.98
2015-03-13 13:12:03,14.038
2015-03-13 13:42:03,14.23
2015-03-13 14:12:03,13.942
2015-03-13 14:42:03,14.613
2015-03-13 15:12:03,14.325
2015-03-13 15:42:03,13.654
2015-03-13 16:12:03,13.654
2015-03-13 16:42:03,11.722
2015-03-13 17:12:03,8.879
2015-03-13 17:42:03,5.45
2015-03-13 18:12:03,4.623
2015-03-13 18:42:03,4.415
2015-03-13 19:12:03,4.102
2015-03-13 19:42:03,3.578
2015-03-13 20:12:03,3.683
2015-03-13 20:42:03,3.998
2015-03-13 21:12:03,3.788
2015-03-13 21:42:03,3.472
2015-03-13 22:12:03,3.578
2015-03-13 22:42:03,3.788
2015-03-13 23:12:03,3.893
2015-03-13 23:42:03,3.367
2015-03-14 00:12:03,2.837
2015-03-14 00:42:03,2.73
2015-03-14 01:12:03,2.517
2015-03-14 01:42:03,1.764
2015-03-14 02:12:03,1.33
2015-03-14 02:42:03,1.112
2015-03-14 03:12:03,0.784
2015-03-14 03:42:03,0.784
2015-03-14 04:12:03,0.343
2015-03-14 04:42:03,0.343
2015-03-14 05:12:03,0.674
2015-03-14 05:42:03,1.221
2015-03-14 06:12:03,1.221
2015-03-14 06:42:03,1.33
2015-03-14 07:12:03,1.872
2015-03-14 07:42:03,2.517
2015-03-14 08:12:03,3.155
2015-03-14 08:42:03,4.207
2015-03-14 09:12:03,6.268
2015-03-14 09:42:03,7.381
2015-03-14 10:12:03,7.481
2015-03-14 10:42:03,7.882
2015-03-14 11:12:03,7.481
2015-03-14 11:42:03,7.682
2015-03-14 12:12:03,7.582
2015-03-14 12:42:03,7.079
2015-03-14 13:12:03,6.37
2015-03-14 13:42:03,6.775
2015-03-14 14:12:03,6.166
2015-03-14 14:42:03,5.962
2015-03-14 15:12:03,6.166
2015-03-14 15:42:03,5.655
2015-03-14 16:12:03,5.347
2015-03-14 16:42:03,5.141
2015-03-14 17:12:03,4.831
2015-03-14 17:42:03,4.623
2015-03-14 18:12:03,4.415
2015-03-14 18:42:03,4.207
2015-03-14 19:12:03,3.998
2015-03-14 19:42:03,3.893
2015-03-14 20:12:03,3.788
2015-03-14 20:42:03,3.049
2015-03-14 21:12:03,2.41
2015-03-14 21:42:03,2.303
2015-03-14 22:12:03,1.98
2015-03-14 22:42:03,1.872
2015-03-14 23:12:03,2.41
2015-03-14 23:42:03,2.837
2015-03-15 00:12:03,2.943
2015-03-15 00:42:03,2.73
2015-03-15 01:12:03,2.088
2015-03-15 01:42:03,1.764
2015-03-15 02:12:03,2.088
2015-03-15 02:42:03,2.088
2015-03-15 03:12:03,2.088
2015-03-15 03:42:03,1.872
2015-03-15 04:12:03,1.548
2015-03-15 04:42:03,2.303
2015-03-15 05:12:03,1.656
2015-03-15 05:42:03,2.088
2015-03-15 06:12:03,2.517
2015-03-15 06:42:03,2.624
2015-03-15 07:12:03,3.049
2015-03-15 07:42:03,3.578
2015-03-15 08:12:03,4.102
2015-03-15 08:42:03,4.727
2015-03-15 09:12:03,6.166
2015-03-15 09:42:03,7.481
2015-03-15 10:12:03,8.68
2015-03-15 10:42:03,9.077
2015-03-15 11:12:03,9.866
2015-03-15 11:42:03,10.455
2015-03-15 12:12:03,11.819
2015-03-15 12:42:03,10.944
2015-03-15 13:12:03,11.528
2015-03-15 13:42:03,11.431
2015-03-15 14:12:03,13.365
2015-03-15 14:42:03,12.787
2015-03-15 15:12:03,14.996
2015-03-15 15:42:03,14.325
2015-03-15 16:12:03,14.613
2015-03-15 16:42:03,12.98
2015-03-15 17:12:03,9.176
2015-03-15 17:42:03,6.877
2015-03-15 18:12:03,5.655
2015-03-15 18:42:03,6.166
2015-03-15 19:12:03,5.037
2015-03-15 19:42:03,5.037
2015-03-15 20:12:03,5.45
2015-03-15 20:42:03,4.519
2015-03-15 21:12:03,5.244
2015-03-15 21:42:03,5.45
2015-03-15 22:12:03,4.207
2015-03-15 22:42:03,2.73
2015-03-15 23:12:03,2.73
2015-03-15 23:42:03,4.102
2015-03-16 00:12:03,4.415
2015-03-16 00:42:03,4.519
2015-03-16 01:12:03,4.102
2015-03-16 01:42:03,4.519
2015-03-16 02:12:03,3.788
2015-03-16 02:42:03,3.998
2015-03-16 03:12:03,3.578
2015-03-16 03:42:03,3.049
2015-03-16 04:12:03,4.311
2015-03-16 04:42:03,2.837
2015-03-16 05:12:03,1.003
2015-03-16 05:42:03,0.674
2015-03-16 06:12:03,0.563
2015-03-16 06:42:03,1.112
2015-03-16 07:12:03,2.195
2015-03-16 07:42:03,2.837
2015-03-16 08:12:03,3.683
2015-03-16 08:42:03,4.623
2015-03-16 09:12:03,5.141
2015-03-16 09:42:03,5.757
2015-03-16 10:12:03,7.079
2015-03-16 10:42:03,7.179
2015-03-16 11:12:03,6.877
2015-03-16 11:42:03,8.282
2015-03-16 12:12:03,7.983
2015-03-16 12:42:03,10.553
2015-03-16 13:12:03,12.401
2015-03-16 13:42:03,14.23
2015-03-16 14:12:03,13.269
2015-03-16 14:42:03,15.378
2015-03-16 15:12:03,17.189
2015-03-16 15:42:03,17.284
2015-03-16 16:12:03,17.094
2015-03-16 16:42:03,13.365
2015-03-16 17:12:03,12.401
2015-03-16 17:42:03,9.768
2015-03-16 18:12:03,8.68
2015-03-16 18:42:03,8.082
2015-03-16 19:12:03,7.782
2015-03-16 19:42:03,7.381
2015-03-16 20:12:03,6.978
2015-03-16 20:42:03,7.079
2015-03-16 21:12:03,7.179
2015-03-16 21:42:03,6.674
2015-03-16 22:12:03,6.37
2015-03-16 22:42:03,6.37
2015-03-16 23:12:03,6.268
2015-03-16 23:42:03,6.064
2015-03-17 00:12:03,5.757
2015-03-17 00:42:03,6.064
2015-03-17 01:12:03,6.471
2015-03-17 01:42:03,6.268
2015-03-17 02:12:03,6.978
2015-03-17 02:42:03,6.268
2015-03-17 03:12:03,6.064
2015-03-17 03:42:03,5.141
2015-03-17 04:12:03,4.831
2015-03-17 04:42:03,5.244
2015-03-17 05:12:03,3.155
2015-03-17 05:42:03,3.049
2015-03-17 06:12:03,4.311
2015-03-17 06:42:03,4.102
2015-03-17 07:12:03,4.623
2015-03-17 07:42:03,6.37
2015-03-17 08:12:03,6.978
2015-03-17 08:42:03,6.978
2015-03-17 09:12:03,9.077
2015-03-17 09:42:03,9.669
2015-03-17 10:12:03,11.819
2015-03-17 10:42:03,12.013
2015-03-17 11:12:03,12.594
2015-03-17 11:42:03,13.654
2015-03-17 12:12:03,15.187
2015-03-17 12:42:03,16.523
2015-03-17 13:12:03,18.426
2015-03-17 13:42:03,19.092
2015-03-17 14:12:03,19.758
2015-03-17 14:42:03,19.948
2015-03-17 15:12:03,21.187
2015-03-17 15:42:03,20.805
2015-03-17 16:12:03,19.472
2015-03-17 16:42:03,19.758
2015-03-17 17:12:03,18.14
2015-03-17 17:42:03,14.709
2015-03-17 18:12:03,12.497
2015-03-17 18:42:03,11.528
2015-03-17 19:12:03,11.236
2015-03-17 19:42:03,11.139
2015-03-17 20:12:03,11.041
2015-03-17 20:42:03,10.846
