tstamp,water_height
2015-03-05 13:41:08,-28
2015-03-05 13:46:08,-28
2015-03-05 13:51:08,-28
2015-03-05 13:56:08,-28
2015-03-05 14:01:08,-28
2015-03-05 14:06:08,-28
2015-03-05 14:11:08,-28
2015-03-05 14:16:08,-28
2015-03-05 14:21:08,-28
2015-03-05 14:26:08,-28
2015-03-05 14:31:08,-28
2015-03-05 14:36:08,-28
2015-03-05 14:41:08,-28
2015-03-05 14:46:08,-28
2015-03-05 14:51:08,-28
2015-03-05 14:56:08,-28
2015-03-05 15:01:08,-28
2015-03-05 15:06:08,-28
2015-03-05 15:11:08,-28
2015-03-05 15:16:08,-28
2015-03-05 15:21:08,-28
2015-03-05 15:26:08,-28
2015-03-05 15:31:08,-28
2015-03-05 15:36:08,-28
2015-03-05 15:41:08,-28
2015-03-05 15:46:08,-28
2015-03-05 15:51:08,-28
2015-03-05 15:56:08,-28
2015-03-05 16:01:08,-28
2015-03-05 16:06:08,-28
2015-03-05 16:11:08,-28
2015-03-05 16:16:08,-28
2015-03-05 16:21:08,-28
2015-03-05 16:26:08,-28
2015-03-05 16:31:08,-28
2015-03-05 16:36:08,-28
2015-03-05 16:41:08,-28
2015-03-05 16:46:08,-28
2015-03-05 16:51:08,-28
2015-03-05 16:56:08,-28
2015-03-05 17:01:08,-28
2015-03-05 17:06:08,-28
2015-03-05 17:11:08,-28
2015-03-05 17:16:08,-28
2015-03-05 17:21:08,-28
2015-03-05 17:26:08,-28
2015-03-05 17:31:08,-28
2015-03-05 17:36:08,-28
2015-03-05 17:41:08,-28
2015-03-05 17:46:08,-28
2015-03-05 17:51:08,-28
2015-03-05 17:56:08,-28
2015-03-05 18:01:08,-28
2015-03-05 18:06:08,-28
2015-03-05 18:11:08,-28
2015-03-05 18:16:08,-28
2015-03-05 18:21:08,-28
2015-03-05 18:26:08,-28
2015-03-05 18:31:08,-28
2015-03-05 18:36:08,-28
2015-03-05 18:41:08,-28
2015-03-05 18:46:08,-28
2015-03-05 18:51:08,-28
2015-03-05 18:56:08,-28
2015-03-05 19:01:08,-28
2015-03-05 19:06:08,-28
2015-03-05 19:11:08,-28
2015-03-05 19:16:08,-28
2015-03-05 19:21:08,-28
2015-03-05 19:26:08,-28
2015-03-05 19:31:08,-28
2015-03-05 19:36:08,-28
2015-03-05 19:41:08,-28
2015-03-05 19:46:08,-28
2015-03-05 19:51:08,-28
2015-03-05 19:56:08,-28
2015-03-05 20:01:08,-28
2015-03-05 20:06:08,-28
2015-03-05 20:11:08,-28
2015-03-05 20:16:08,-28
2015-03-05 20:21:08,-28
2015-03-05 20:26:08,-28
2015-03-05 20:31:08,-28
2015-03-05 20:36:08,-28
2015-03-05 20:41:08,-28
2015-03-05 20:46:08,-28
2015-03-05 20:51:08,-28
2015-03-05 20:56:08,-28
2015-03-05 21:01:08,-28
2015-03-05 21:06:08,-28
2015-03-05 21:11:08,-28
2015-03-05 21:16:08,-28
2015-03-05 21:21:08,-28
2015-03-05 21:26:08,-28
2015-03-05 21:31:08,-28
2015-03-05 21:36:08,-28
2015-03-05 21:41:08,-28
2015-03-05 21:46:08,-28
2015-03-05 21:51:08,-28
2015-03-05 21:56:08,-28
2015-03-05 22:01:08,-28
2015-03-05 22:06:08,-28
2015-03-05 22:11:08,-28
2015-03-05 22:16:08,-28
2015-03-05 22:21:08,-28
2015-03-05 22:26:08,-28
2015-03-05 22:31:08,-28
2015-03-05 22:36:08,-28
2015-03-05 22:41:08,-28
2015-03-05 22:46:08,-28
2015-03-05 22:51:08,-28
2015-03-05 22:56:08,-28
2015-03-05 23:01:08,-28
2015-03-05 23:06:08,-28
2015-03-05 23:11:08,-28
2015-03-05 23:16:08,-28
2015-03-05 23:21:08,-28
2015-03-05 23:26:08,-28
2015-03-05 23:31:08,-28
2015-03-05 23:36:08,-28
2015-03-05 23:41:08,-28
2015-03-05 23:46:08,-28
2015-03-05 23:51:08,-28
2015-03-05 23:56:08,-28
2015-03-06 00:01:08,-28
2015-03-06 00:06:08,-28
2015-03-06 00:11:08,-28
2015-03-06 00:16:08,-28
2015-03-06 00:21:08,-28
2015-03-06 00:26:08,-28
2015-03-06 00:31:08,-28
2015-03-06 00:36:08,-28
2015-03-06 00:41:08,-28
2015-03-06 00:46:08,-28
2015-03-06 00:51:08,-28
2015-03-06 00:56:08,-28
2015-03-06 01:01:08,-28
2015-03-06 01:06:08,-28
2015-03-06 01:11:08,-28
2015-03-06 01:16:08,-28
2015-03-06 01:21:08,-28
2015-03-06 01:26:08,-28
2015-03-06 01:31:08,-28
2015-03-06 01:36:08,-28
2015-03-06 01:41:08,-28
2015-03-06 01:46:08,-28
2015-03-06 01:51:08,-28
2015-03-06 01:56:08,-28
2015-03-06 02:01:08,-28
2015-03-06 02:06:08,-28
2015-03-06 02:11:08,-28
2015-03-06 02:16:08,-28
2015-03-06 02:21:08,-28
2015-03-06 02:26:08,-28
2015-03-06 02:31:08,-28
2015-03-06 02:36:08,-28
2015-03-06 02:41:08,-28
2015-03-06 02:46:08,-28
2015-03-06 02:51:08,-28
2015-03-06 02:56:08,-28
2015-03-06 03:01:08,-28
2015-03-06 03:06:08,-28
2015-03-06 03:11:08,-28
2015-03-06 03:16:08,-28
2015-03-06 03:21:08,-28
2015-03-06 03:26:08,-28
2015-03-06 03:31:08,-28
2015-03-06 03:36:08,-28
2015-03-06 03:41:08,-28
2015-03-06 03:46:08,-28
2015-03-06 03:51:08,-28
2015-03-06 03:56:08,-28
2015-03-06 04:01:08,-28
2015-03-06 04:06:08,-28
2015-03-06 04:11:08,-28
2015-03-06 04:16:08,-28
2015-03-06 04:21:08,-28
2015-03-06 04:26:08,-28
2015-03-06 04:31:08,-28
2015-03-06 04:36:08,-28
2015-03-06 04:41:08,-28
2015-03-06 04:46:08,-28
2015-03-06 04:51:08,-28
2015-03-06 04:56:08,-28
2015-03-06 05:01:08,-28
