SeriesID,SiteID,VariableID,VariableUnitsName,TimeUnitsName,MethodID,SourceID,Organization,SourceDescription,Citation,QualityControlLevelID,QualityControlLevelCode,BeginDateTime,EndDateTime,BeginDateTimeUTC,EndDateTimeUTC,ValueCount,SiteCode,SiteName,LatLongDatumID,Elevation_m,VerticalDatum,LocalX,LocalY,Latitude,Longitude,LocalProjectionID,PosAccuracy_m,State,County,Comments,VariableCode,VariableName,Speciation,VariableUnitsID,SampleMedium,ValueType,IsRegular,TimeSupport,TimeUnitsID,DataType,GeneralCategory,NoDataValue,MethodDescription,MethodLink
55,51.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SA.a,schist - cluster: S_A - forest - valley bottom,3.0,470.0,MSL,53690.16,98746.41,49.82250474,5.802504666,227.0,,,Grand Duchy of Luxembourg,sap flow 1,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
56,52.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SA.b,schist - cluster: S_A - forest - valley bottom,3.0,470.0,MSL,53695.6,98746.28,49.82250171,5.802580181000001,227.0,,,Grand Duchy of Luxembourg,sap flow 2,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
57,53.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SA.c,schist - cluster: S_A - forest - valley bottom,3.0,470.0,MSL,53686.9,98756.53,49.82259674,5.802464635,227.0,,,Grand Duchy of Luxembourg,sap flow 3,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
58,54.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SA.d,schist - cluster: S_A - forest - valley bottom,3.0,470.0,MSL,53685.48,98744.93,49.82249304,5.802438975,227.0,,,Grand Duchy of Luxembourg,sap flow 4,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
117,68.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SB.a,schist - cluster: S_B - forest - midslope - S,3.0,473.0,MSL,53667.03,98778.71,49.82279342,5.802185262999999,227.0,,,Grand Duchy of Luxembourg,sap flow 1,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
118,69.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SB.b,schist - cluster: S_B - forest - midslope - S,3.0,473.0,MSL,53667.34,98773.02,49.82274223,5.802186546000001,227.0,,,Grand Duchy of Luxembourg,sap flow 2,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
119,70.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SB.c,schist - cluster: S_B - forest - midslope - S,3.0,473.0,MSL,,,,,227.0,,,Grand Duchy of Luxembourg,sap flow 3,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
120,71.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SB.d,schist - cluster: S_B - forest - midslope - S,3.0,473.0,MSL,53663.93,98771.14,49.82272646,5.802138287000001,227.0,,,Grand Duchy of Luxembourg,sap flow 4,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
179,85.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SC.a,schist - cluster: S_C - forest - midslope - N,3.0,473.0,MSL,53659.3,98724.7,49.82230238,5.802373622,227.0,,,Grand Duchy of Luxembourg,sap flow 1,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
180,86.0,28,,minute,76,5,German Research Centre For Geosciences GFZ ,Sektion 5.4 - Hydrology,Data collected by GFZ as part of the CAOS project,,,,,,,,1.1.45.30.2.1.2.CL.SC.b,schist - cluster: S_C - forest - midslope - N,3.0,473.0,MSL,53659.5,98717.2,49.82223497,5.802372556,227.0,,,Grand Duchy of Luxembourg,sap flow 2,,Sap Flow velocity,Not Applicable,,Tree,Field observation,1,5,102,Average,Hydrology,-9999,Sap flow velocity measured with East 30 Sensors heat pulse Sap Flow Sensors,http://www.east30sensors.com/sap-flow.php
