"TIMESTAMP"	"AirTemp_C_Avg"	"RelHumid"
2013-10-20 10:10:00	NA	0
2013-10-20 10:15:00	NA	0
2013-10-20 10:20:00	NA	NA
2013-10-20 10:25:00	NA	NA
2013-10-20 10:30:00	NA	NA
2013-10-20 10:35:00	NA	NA
2013-10-20 10:40:00	NA	NA
2013-10-20 10:45:00	NA	NA
2013-10-20 10:50:00	NA	NA
2013-10-20 10:55:00	NA	NA
2013-10-20 11:00:00	NA	NA
2013-10-20 11:05:00	NA	NA
2013-10-20 11:10:00	NA	NA
2013-10-20 11:15:00	NA	NA
2013-10-20 11:20:00	NA	NA
2013-10-20 11:25:00	NA	0
2013-10-20 11:30:00	NA	0
2013-10-20 11:35:00	NA	90.1
2013-10-20 11:40:00	15.41	91.1
2013-10-20 11:45:00	NA	NA
2013-10-20 11:50:00	15.59	88.3
2013-10-20 11:55:00	NA	NA
2013-10-20 12:00:00	NA	NA
2013-10-20 12:05:00	NA	NA
2013-10-20 12:10:00	NA	NA
2013-10-20 12:15:00	NA	NA
2013-10-20 12:20:00	15.84	88.8
2013-10-20 12:25:00	NA	NA
2013-10-20 12:30:00	15.91	86.8
2013-10-20 12:35:00	NA	NA
2013-10-20 12:40:00	15.6	88.5
2013-10-20 12:45:00	15.4	89.9
2013-10-20 12:50:00	15.36	89
2013-10-20 12:55:00	15.35	90.2
2013-10-20 13:00:00	15.35	89
2013-10-20 13:05:00	15.52	89.6
2013-10-20 13:10:00	15.68	88.8
2013-10-20 13:15:00	15.7	86.4
2013-10-20 13:20:00	15.69	86.7
2013-10-20 13:25:00	15.63	87.5
2013-10-20 13:30:00	15.8	88.3
2013-10-20 13:35:00	16.07	87.7
2013-10-20 13:40:00	15.82	85.4
2013-10-20 13:45:00	15.69	85
2013-10-20 13:50:00	15.7	86.8
2013-10-20 13:55:00	15.53	87.1
2013-10-20 14:00:00	15.46	86.9
2013-10-20 14:05:00	15.44	88.3
2013-10-20 14:10:00	15.46	87.5
2013-10-20 14:15:00	15.54	88.1
2013-10-20 14:20:00	15.65	86.1
2013-10-20 14:25:00	15.72	86
2013-10-20 14:30:00	15.76	85
2013-10-20 14:35:00	15.65	87.2
2013-10-20 14:40:00	15.47	86.8
2013-10-20 14:45:00	15.34	86.5
2013-10-20 14:50:00	15.34	86.2
2013-10-20 14:55:00	15.32	87
2013-10-20 15:00:00	15.27	86.7
2013-10-20 15:05:00	15.28	87.9
2013-10-20 15:10:00	15.22	88.9
2013-10-20 15:15:00	15.74	86.9
2013-10-20 15:20:00	15.98	85.4
2013-10-20 15:25:00	15.74	86.7
