"TOA5","CR1000_S_F","CR1000","E4463","CR1000.Std.24","CPU:final_program_2012_11_09_add_CTD_ISCO_F.CR1","2306","ISCO"
"TIMESTAMP","RECORD","TimeNow","hNow","BottleNo","volumeISCO"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2012-11-11 19:35:00",0,681.816,136,1,4000
"2012-11-14 05:29:00",1,684.2285,132,2,4000
"2012-11-16 16:59:00",2,686.7076,131,3,4001
"2012-11-19 08:46:00",3,689.3652,124,4,4001
"2012-11-22 07:40:00",4,692.3195,120,5,4000
"2012-11-25 08:30:00",5,695.3541,120,6,4000
"2012-11-28 09:28:00",6,698.3945,118,7,4001
"2012-12-01 14:00:00",7,701.5833,117,8,4001
"2012-12-04 16:09:00",8,704.6729,123,9,4000
"2012-12-07 15:26:00",9,707.6431,124,10,4001
"2012-12-10 09:34:00",10,710.3986,131,11,4001
