"TOA5","CR1000_S_F","CR1000","E4463","CR1000.Std.24","CPU:final_program_2013_05_13_ISCO_S_F.CR1","64261","ISCO"
"TIMESTAMP","RECORD","BottleNo","hNow","dh","volume_stored"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2013-05-18 14:14:00",0,1,127,1.6,5000
"2013-05-20 00:22:00",1,2,162,13.4,2399
"2013-05-20 12:26:00",2,3,199,13.4,1418
"2013-05-20 14:27:00",3,4,220,20,337.1
"2013-05-20 16:30:00",4,5,235,15.6,376.3
"2013-05-20 21:08:00",5,6,247,13.2,964
"2013-05-20 23:34:00",6,7,234,13.6,527.9
"2013-05-21 04:07:00",7,8,227,13.4,939
"2013-05-22 07:06:00",8,9,210,0.8,5002
"2013-05-23 17:27:00",9,10,186,0.2,5002
"2013-05-25 11:06:00",10,11,168,1,5001
"2013-05-27 14:55:00",11,12,149,1.4,5000
"2013-05-28 17:26:00",12,13,154,14,2162
"2013-05-28 19:33:00",13,14,147,13.8,208.4
"2013-05-31 13:32:00",14,15,137,1,5001
"2013-06-03 07:46:00",15,16,139,0,5000
"2013-06-06 07:42:00",16,17,129,0.2,5000
"2013-06-08 18:13:00",17,18,132,15,3395
"2013-06-08 20:21:00",18,19,145,28.8,260.5
"2013-06-09 10:17:00",19,20,141,14,925
"2013-06-12 23:30:00",20,21,119,0,5001
"2013-06-13 17:49:00",21,22,138,14,1014
"2013-06-13 21:34:00",22,23,125,13.8,258
