"TIMESTAMP"	"hNow"	"dh"	"volume_stored"
2013-05-18 14:14:00	127	1.6	5000
2013-05-20 00:22:00	162	13.4	2399
2013-05-20 12:26:00	199	13.4	1418
2013-05-20 14:27:00	220	20	337.1
2013-05-20 16:30:00	235	15.6	376.3
2013-05-20 21:08:00	247	13.2	964
2013-05-20 23:34:00	234	13.6	527.9
2013-05-21 04:07:00	227	13.4	939
2013-05-22 07:06:00	210	0.8	5002
2013-05-23 17:27:00	186	0.2	5002
2013-05-25 11:06:00	168	1	5001
2013-05-27 14:55:00	149	1.4	5000
2013-05-28 17:26:00	154	14	2162
2013-05-28 19:33:00	147	13.8	208.4
2013-05-31 13:32:00	137	1	5001
2013-06-03 07:46:00	139	0	5000
2013-06-06 07:42:00	129	0.2	5000
2013-06-08 18:13:00	132	15	3395
2013-06-08 20:21:00	145	28.8	260.5
2013-06-09 10:17:00	141	14	925
2013-06-12 23:30:00	119	0	5001
2013-06-13 17:49:00	138	14	1014
2013-06-13 21:34:00	125	13.8	258
2013-06-17 20:19:00	115	0	5000
2013-06-20 05:10:00	126	13.2	2649
2013-06-20 07:31:00	130	15	166.4
2013-06-20 13:21:00	131	13.4	431.5
2013-06-20 19:43:00	133	14.6	358.7
2013-06-20 21:44:00	189	52.8	258.3
2013-06-20 23:45:00	154	35.4	214.8
2013-06-23 03:18:00	162	0.6	5001
2013-06-23 20:10:00	173	13.6	1686
2013-06-23 22:23:00	161	13.6	240.8
2013-06-26 04:31:00	151	0	5001
2013-06-28 17:06:00	141	1	5000
2013-07-01 15:42:00	126	2	5001
2013-07-05 05:24:00	117	0	5000
2013-07-09 17:19:00	105	1.4	5000
2013-07-17 11:52:00	90	1.6	5000
2013-07-24 06:43:00	101	14	4188
2013-07-24 08:44:00	117	14.4	131.2
2013-07-26 09:43:00	105	13.8	1463
2013-08-03 04:12:00	90	15	4549
2013-08-12 15:02:00	83	14.4	3578
2013-08-12 17:03:00	131	41.2	145.8
2013-08-12 19:03:00	105	25.8	97.1
2013-08-27 22:41:00	67	0.4	4000
2013-09-08 03:22:00	81	17	2606
2013-09-09 20:15:00	83	16	680.9
2013-09-09 22:15:00	135	54	122.8
2013-09-10 00:56:00	130	15.8	218.8
2013-09-10 02:57:00	106	23	101.2
2013-09-18 14:45:00	94	0	4000
2013-10-01 10:38:00	71	0.6	1344
2013-10-05 00:48:00	89	14	1225
2013-10-05 02:49:00	108	19.6	69.66
2013-10-09 02:50:00	72	0	1843
2013-10-13 02:51:00	74	0.4	1815
2013-10-14 16:30:00	89	14	652
2013-10-14 18:31:00	131	40.4	104.8
2013-10-14 20:32:00	109	20.6	110.8
2013-10-17 18:06:00	95	17	1702
2013-10-20 20:35:00	98	20	637.6
2013-10-20 22:35:00	118	26.8	111.3
2013-10-21 00:36:00	103	14.4	90.1
2013-10-25 00:37:00	101	1	3313
2013-10-25 23:06:00	117	14	876
2013-10-26 01:07:00	133	15.2	134.2
2013-10-27 12:05:00	130	14.4	1827
2013-10-27 14:05:00	141	14.4	150.3
2013-10-27 16:06:00	127	13.4	137.9
2013-10-28 00:21:00	135	13.2	486.1
2013-10-28 02:21:00	150	15	166
2013-10-28 04:22:00	137	13.8	159.5
2013-10-30 08:47:00	129	0.2	3500
2013-11-01 20:31:00	125	3.2	3501
2013-11-02 02:12:00	141	13.4	363.2
2013-11-04 02:53:00	147	13.8	3283
2013-11-04 04:54:00	165	18.4	201
2013-11-04 09:49:00	175	13.8	504.6
2013-11-05 09:48:00	200	0.6	3502
2013-11-06 10:13:00	184	3.8	3501
2013-11-07 13:50:00	179	3.4	3501
2013-11-08 13:22:00	218	5.2	3501
2013-11-08 15:22:00	235	16.8	383.6
2013-11-09 07:55:00	238	5.8	3501
2013-11-10 02:07:00	221	4.8	3501
2013-11-10 21:49:00	212	1.6	3503
2013-11-11 19:13:00	204	0	3500
2013-11-12 18:14:00	195	0.2	3501
2013-11-13 20:11:00	179	2	3501
2013-11-15 02:35:00	167	1.2	3501
2013-11-16 12:53:00	158	0	3500
2013-11-18 02:28:00	153	0.4	3501
2013-11-19 18:59:00	149	79.79	172.9
2013-11-20 02:01:00	149	19.5	172
2013-11-20 10:53:00	144	36.4	166
