"TIMESTAMP"	"hNow"	"dh"	"volume_stored"
2013-04-01 21:20:00	255	1	7999
2013-04-11 02:34:00	265	2	7999
2013-04-12 18:34:00	307	3	2772
2013-04-19 18:44:00	277	4	7999
2013-04-26 17:09:00	266	1	1462
2013-04-26 19:56:00	257	2	179.8
2013-05-01 19:59:00	241	3	6000
2013-05-07 04:25:00	240	4	6000
2013-05-07 10:44:00	258	5	306.1
2013-05-12 19:13:00	239	6	6000
2013-05-16 07:37:00	254	14	1938
2013-05-17 10:32:00	263	13.6	1482
2013-05-19 16:16:00	291	14	3541
2013-05-19 20:56:00	305	15.4	401.1
2013-05-19 23:58:00	316	14	291.6
2013-05-20 05:24:00	340	13.4	626.2
2013-05-20 07:24:00	353	13.8	268.3
2013-05-20 10:41:00	370	13.2	476.7
2013-05-20 12:49:00	385	13.8	347.3
2013-05-20 14:50:00	405	21.8	363
2013-05-20 16:50:00	420	15.6	395.8
2013-05-21 07:07:00	416	13.2	3050
2013-05-21 21:08:00	403	13.4	2625
2013-05-23 03:43:00	366	1.8	5002
2013-05-24 16:17:00	334	2	5002
2013-05-26 14:59:00	303	2	5001
2013-05-28 17:23:00	296	15	4242
2013-05-28 19:36:00	292	16.8	221.1
2013-05-31 17:33:00	273	0.2	5001
2013-06-03 16:59:00	268	0.4	5000
2013-06-07 01:13:00	253	0	5000
2013-06-08 18:13:00	260	15.8	2156
2013-06-08 20:14:00	296	35.8	249.3
2013-06-08 22:14:00	275	21.2	157
2013-06-09 09:42:00	273	13.4	737.1
2013-06-13 03:18:00	248	0	5001
2013-06-13 17:57:00	267	13.4	778.6
2013-06-13 21:31:00	259	13.6	240.5
2013-06-18 06:34:00	236	0	5000
2013-06-20 05:15:00	246	14	1866
2013-06-20 09:26:00	267	13.4	251.2
2013-06-20 13:19:00	251	23	268.6
2013-06-20 19:42:00	258	15	332.8
2013-06-20 21:43:00	342	80.8	229
2013-06-20 23:44:00	296	46.4	212.6
2013-06-23 09:26:00	290	0.8	5001
2013-06-23 20:08:00	302	14	906
2013-06-23 22:25:00	293	13.4	215.3
2013-06-26 16:12:00	270	0.2	5001
2013-06-27 13:08:00	254	14	1437
2013-07-01 02:49:00	246	1.2	5000
2013-07-05 17:00:00	227	0	5000
2013-07-12 22:56:00	204	0	5000
2013-07-24 06:43:00	204	15	4211
2013-07-24 08:44:00	233	28.2	91.8
2013-07-24 10:44:00	210	23.6	64.36
2013-07-26 09:39:00	208	13.4	607.4
2013-07-26 13:11:00	209	13.2	104.4
2013-08-12 14:45:00	186	14	NA
2013-08-12 16:45:00	278	96.8	82.3
2013-08-12 18:46:00	220	56	96.6
2013-08-12 20:47:00	204	15.4	52.26
2013-09-08 02:16:00	177	13.4	NA
2013-09-08 04:16:00	196	18	NA
2013-09-09 20:15:00	182	14	NA
2013-09-09 22:15:00	274	93	95.1
2013-09-10 00:16:00	292	19.2	167.3
2013-09-10 02:17:00	240	52.2	130.9
2013-09-10 04:17:00	219	21.2	76.79
2013-09-11 12:50:00	173	13.4	NA
2013-09-17 21:20:00	201	14	NA
2013-09-17 23:21:00	216	15	51.03
2013-10-01 10:14:00	NA	NA	NA
2013-10-05 10:15:00	NA	NA	NA
2013-10-09 10:16:00	169	0	NA
2013-10-13 10:17:00	166	0	1430
2013-10-14 16:39:00	179	14	399.6
2013-10-14 18:40:00	243	64.6	82.4
2013-10-14 20:41:00	220	23	111.1
2013-10-17 18:07:00	190	14	600.7
2013-10-17 20:08:00	204	14.2	64.84
2013-10-20 20:36:00	197	14	1735
2013-10-20 22:36:00	229	30.4	98.1
2013-10-21 00:37:00	210	18.4	92.1
2013-10-23 03:09:00	226	14	1160
