"TOA5","CR1000_S_R","CR1000","E4473","CR1000.Std.24","CPU:final_program_meadow_2012_09_28_add_CTD_ISCO_R.CR1","24959","ISCO"
"TIMESTAMP","RECORD","TimeNow","hNow","BottleNo","volumeISCO"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2012-09-29 10:37:00",0,638.4424,68,1,38.39
"2012-10-04 07:30:00",1,643.3125,112,2,150
"2012-10-04 09:31:00",2,643.3965,155,3,16.06
"2012-10-04 11:32:00",3,643.4805,124,4,17.58
"2012-10-06 13:40:00",4,645.5695,104,5,200
"2012-10-08 08:17:00",5,647.3451,125,6,200.1
"2012-10-09 13:43:00",6,648.5715,128,7,200
"2012-10-10 18:33:00",7,649.7729,129,8,200.1
"2012-10-11 23:50:00",8,650.993,128,9,200.1
"2012-10-13 04:55:00",9,652.2049,124,10,200.1
"2012-10-13 16:56:00",10,652.7056,139,11,70.65
"2012-10-13 19:16:00",11,652.8028,134,12,23.63
"2012-10-14 17:35:00",12,653.7326,156,13,200.1
"2012-10-14 22:54:00",13,653.9542,173,14,77.16
"2012-10-15 08:01:00",14,654.334,194,15,200.3
"2012-10-15 14:00:00",15,654.5833,213,16,200.3
"2012-10-15 19:11:00",16,654.7993,217,17,200.2
"2012-10-16 00:09:00",17,655.0062,218,18,200.3
"2012-10-16 05:11:00",18,655.2159,216,19,200.5
"2012-10-16 10:24:00",19,655.4333,214,20,200.3
"2012-10-16 15:45:00",20,655.6563,210,21,200.5
"2012-10-16 21:23:00",21,655.891,207,22,200.2
"2012-10-17 03:32:00",22,656.1472,200,23,200.3
"2012-10-17 10:15:00",23,656.4271,195,24,200.3
