"TOA5","CR1000_S_R","CR1000","E4473","CR1000.Std.24","CPU:final_program_meadow_2012_12_06_S_R.CR1","50370","ISCO"
"TIMESTAMP","RECORD","TimeNow","hNow","BottleNo","volumeISCO"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2013-04-25 12:30:00",0,845.5208,124,1,7.186
"2013-04-26 17:11:00",1,846.7159,112,2,62.61
"2013-04-29 08:58:00",2,849.3736,126,3,187.7
"2013-04-29 10:58:00",3,849.457,93,4,6.483
"2013-04-29 13:38:00",4,849.5681,132,5,8.71
"2013-04-29 16:06:00",5,849.6708,98,6,9.45
"2013-05-01 13:09:00",6,851.5479,82,7,179.5
"2013-05-01 15:15:00",7,851.6354,114,8,7.003
"2013-05-02 10:23:00",8,852.4327,88,9,69.37
"2013-05-02 12:34:00",9,852.5236,123,10,6.864
"2013-05-02 14:35:00",10,852.6076,92,11,5.057
"2013-05-02 16:51:00",11,852.7021,104,12,5.863
"2013-05-03 12:53:00",12,853.5368,90,13,79.04
"2013-05-03 14:54:00",13,853.6208,112,14,8.41
"2013-05-04 13:49:00",14,854.5757,130,15,84.8
"2013-05-04 15:51:00",15,854.6604,100,16,6.635
"2013-05-05 14:55:00",16,855.6215,107,17,58.88
"2013-05-06 09:31:00",17,856.3965,110,18,50.16
"2013-05-06 12:31:00",18,856.5215,101,19,6.742
"2013-05-07 09:51:00",19,857.4104,110,20,48.01
"2013-05-07 12:31:00",20,857.5215,84,21,8.48
"2013-05-08 07:51:00",21,858.3271,84,22,55.26
