"TOA5","CR1000_S_R","CR1000","E4473","CR1000.Std.24","CPU:final_program_meadow_2012_05_13_S_R.CR1","28109","ISCO"
"TIMESTAMP","RECORD","BottleNo","hNow","dh","volume_stored"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2013-05-18 12:08:00",0,1,128,17,107
"2013-05-18 14:09:00",1,2,95,27.2,7.814
"2013-05-18 16:09:00",2,3,110,15.6,7.732
"2013-05-20 12:12:00",3,4,160,12.2,250.1
"2013-05-20 15:01:00",4,5,165,16.2,39.12
"2013-05-21 02:29:00",5,6,187,2,250.4
"2013-05-21 11:28:00",6,7,197,4.6,250.3
"2013-05-21 20:06:00",7,8,197,1.8,250.5
"2013-05-22 05:00:00",8,9,190,1,250
"2013-05-22 14:58:00",9,10,188,4,250.1
"2013-05-23 00:58:00",10,11,192,0.4,250.2
"2013-05-23 10:13:00",11,12,189,2.2,250.3
"2013-05-23 13:45:00",12,13,200,16.2,88.4
"2013-05-23 15:46:00",13,14,179,19.2,48.53
"2013-05-24 03:00:00",14,15,175,2,250.3
"2013-05-24 11:39:00",15,16,183,17.8,165.9
"2013-05-24 13:42:00",16,17,159,15.8,38.04
"2013-05-25 04:03:00",17,18,163,0,250.1
"2013-05-25 11:04:00",18,19,176,15.8,104.8
"2013-05-25 14:00:00",19,20,154,19.4,43.93
"2013-05-26 08:51:00",20,21,150,0.4,250.1
"2013-05-27 08:06:00",21,22,141,0.8,250.1
"2013-05-27 11:47:00",22,23,156,15.8,34.74
"2013-05-27 13:47:00",23,24,139,16.8,19.27
"2013-05-28 17:03:00",24,25,138,1,250
"2013-05-28 19:21:00",25,26,140,17.4,25.85
"2013-05-30 00:00:00",26,27,135,0,250.1
"2013-05-31 10:27:00",27,28,121,2.2,250
"2013-06-02 04:45:00",28,29,120,0.2,250
"2013-06-03 23:19:00",29,30,123,0,250
"2013-06-05 12:36:00",30,31,125,16.2,199
"2013-06-07 12:09:00",31,32,130,17.4,194.7
"2013-06-07 14:10:00",32,33,101,23.6,8.22
"2013-06-08 11:19:00",33,34,92,16,71.86
"2013-06-08 13:19:00",34,35,115,21.2,5.351
"2013-06-08 15:20:00",35,36,87,27.6,2.741
"2013-06-08 18:11:00",36,37,101,16.8,4.224
"2013-06-08 20:16:00",37,38,100,37,14.43
"2013-06-10 17:44:00",38,39,97,16.2,179.5
"2013-06-11 11:16:00",39,40,120,16.4,46.5
"2013-06-11 13:16:00",40,41,105,15.2,7.605
"2013-06-11 19:01:00",41,42,115,15.8,20.93
"2013-06-13 10:48:00",42,43,109,15.2,190.2
"2013-06-13 14:11:00",43,44,133,16.8,19.86
"2013-06-13 16:26:00",44,45,119,15.4,17.11
"2013-06-15 07:48:00",45,46,123,0,250.1
"2013-06-16 19:24:00",46,47,128,1.2,250.1
"2013-06-18 15:32:00",47,48,123,2,250
"2013-06-20 04:58:00",48,49,135,16,179.5
"2013-06-20 19:37:00",49,50,141,17,102.8
"2013-06-20 21:51:00",50,51,147,15.8,31.82
"2013-06-20 23:52:00",51,52,129,17.4,16.25
"2013-06-21 21:28:00",52,53,164,1,250.3
"2013-06-22 11:34:00",53,54,149,17.8,236.4
