"TIMESTAMP"	"TimeNow"	"hNow"	"BottleNo"	"volumeISCO"
2013-03-27 09:16:00	816.3861	150	1	NA
2013-03-27 11:48:00	816.4916	157	2	24.69
2013-03-27 13:48:00	816.575	139	3	19.62
2013-04-07 09:23:00	827.391	122	14	282.5
2013-04-07 12:06:00	827.5042	98	15	11.57
2013-04-07 14:36:00	827.6083	113	16	8.5
2013-04-08 10:11:00	828.4243	111	17	55.31
2013-04-08 12:12:00	828.5084	88	18	5.923
2013-04-09 14:46:00	829.6152	103	19	97.9
2013-04-11 02:11:00	831.091	113	20	120.1
2013-04-11 09:20:00	831.3889	91	21	26.88
2013-04-11 11:45:00	831.4896	99	22	7.476
2013-04-12 14:13:00	832.5923	127	23	95.6
2013-04-12 16:31:00	832.6882	127	24	12.96
2013-04-25 12:30:00	845.5208	124	1	7.186
2013-04-26 17:11:00	846.7159	112	2	62.61
2013-04-29 08:58:00	849.3736	126	3	187.7
2013-04-29 10:58:00	849.457	93	4	6.483
2013-03-28 09:18:00	817.3875	114	4	159.6
2013-03-28 11:19:00	817.4715	133	5	15.43
2013-04-29 13:38:00	849.5681	132	5	8.71
2013-04-29 16:06:00	849.6708	98	6	9.45
2013-05-01 13:09:00	851.5479	82	7	179.5
2013-05-01 15:15:00	851.6354	114	8	7.003
2013-05-02 10:23:00	852.4326	88	9	69.36999
2013-05-02 12:34:00	852.5236	123	10	6.864
2013-05-02 14:35:00	852.6076	92	11	5.057
2013-05-02 16:51:00	852.7021	104	12	5.863
2013-05-03 12:53:00	853.5368	90	13	79.04
2013-05-03 14:54:00	853.6208	112	14	8.41
2013-05-04 13:49:00	854.5758	130	15	84.8
2013-05-04 15:51:00	854.6604	100	16	6.635
2013-05-05 14:55:00	855.6215	107	17	58.88
2013-05-06 09:31:00	856.3966	110	18	50.16
2013-05-06 12:31:00	856.5215	101	19	6.742
2013-05-07 09:51:00	857.4104	110	20	48.01
2013-03-30 10:26:00	819.4347	136	6	317.5
2013-05-07 12:31:00	857.5215	84	21	8.48
2013-05-08 07:51:00	858.3271	84	22	55.26
2013-05-11 10:48:00	861.45	74	1	49.88
2013-05-11 14:08:00	861.5889	115	2	6.533
2013-05-11 16:14:00	861.6764	101	3	6.528
2013-05-12 15:11:00	862.6326	80	4	59.08
2013-03-31 09:55:00	820.4132	145	7	152.9
2013-03-31 12:21:00	820.5146	129	8	17.12
2013-04-01 10:42:00	821.4458	108	9	126.8
2013-04-01 12:45:00	821.5313	130	10	11.44
2013-04-01 15:02:00	821.6264	119	11	13.21
2013-04-02 12:22:00	822.5153	132	12	112.8
2013-04-04 11:14:00	824.468	129	13	209.7
