"TIMESTAMP"	"hNow"	"dh"	"volume_stored"
2013-03-27 09:16:00	150	1	NA
2013-03-27 11:48:00	157	2	24.69
2013-03-27 13:48:00	139	3	19.62
2013-03-28 09:18:00	114	4	159.6
2013-03-28 11:19:00	133	5	15.43
2013-03-30 10:26:00	136	6	317.5
2013-03-31 09:55:00	145	7	152.9
2013-03-31 12:21:00	129	8	17.12
2013-04-01 10:42:00	108	9	126.8
2013-04-01 12:45:00	130	10	11.44
2013-04-01 15:02:00	119	11	13.21
2013-04-02 12:22:00	132	12	112.8
2013-04-04 11:14:00	129	13	209.7
2013-04-07 09:23:00	122	14	282.5
2013-04-07 12:06:00	98	15	11.57
2013-04-07 14:36:00	113	16	8.5
2013-04-08 10:11:00	111	17	55.31
2013-04-08 12:12:00	88	18	5.923
2013-04-09 14:46:00	103	19	97.9
2013-04-11 02:11:00	113	20	120.1
2013-04-11 09:20:00	91	21	26.88
2013-04-11 11:45:00	99	22	7.476
2013-04-12 14:13:00	127	23	95.6
2013-04-12 16:31:00	127	24	12.96
2013-04-25 12:30:00	124	1	7.186
2013-04-26 17:11:00	112	2	62.61
2013-04-29 08:58:00	126	3	187.7
2013-04-29 10:58:00	93	4	6.483
2013-04-29 13:38:00	132	5	8.71
2013-04-29 16:06:00	98	6	9.45
2013-05-01 13:09:00	82	7	179.5
2013-05-01 15:15:00	114	8	7.003
2013-05-02 10:23:00	88	9	69.36999
2013-05-02 12:34:00	123	10	6.864
2013-05-02 14:35:00	92	11	5.057
2013-05-02 16:51:00	104	12	5.863
2013-05-03 12:53:00	90	13	79.04
2013-05-03 14:54:00	112	14	8.41
2013-05-04 13:49:00	130	15	84.8
2013-05-04 15:51:00	100	16	6.635
2013-05-05 14:55:00	107	17	58.88
2013-05-06 09:31:00	110	18	50.16
2013-05-06 12:31:00	101	19	6.742
2013-05-07 09:51:00	110	20	48.01
2013-05-07 12:31:00	84	21	8.48
2013-05-08 07:51:00	84	22	55.26
2013-05-11 10:48:00	74	1	49.88
2013-05-11 14:08:00	115	2	6.533
2013-05-11 16:14:00	101	3	6.528
2013-05-12 15:11:00	80	4	59.08
2013-05-18 12:08:00	128	17	107
2013-05-18 14:09:00	95	27.2	7.814
2013-05-18 16:09:00	110	15.6	7.732
2013-05-20 12:12:00	160	12.2	250.1
2013-05-20 15:01:00	165	16.2	39.12
2013-05-21 02:29:00	187	2	250.4
2013-05-21 11:28:00	197	4.6	250.3
2013-05-21 20:06:00	197	1.8	250.5
2013-05-22 05:00:00	190	1	250
2013-05-22 14:58:00	188	4	250.1
2013-05-23 00:58:00	192	0.4	250.2
2013-05-23 10:13:00	189	2.2	250.3
2013-05-23 13:45:00	200	16.2	88.4
2013-05-23 15:46:00	179	19.2	48.53
2013-05-24 03:00:00	175	2	250.3
2013-05-24 11:39:00	183	17.8	165.9
2013-05-24 13:42:00	159	15.8	38.04
2013-05-25 04:03:00	163	0	250.1
2013-05-25 11:04:00	176	15.8	104.8
2013-05-25 14:00:00	154	19.4	43.93
2013-05-26 08:51:00	150	0.4	250.1
2013-05-27 08:06:00	141	0.8	250.1
2013-05-27 11:47:00	156	15.8	34.74
2013-05-27 13:47:00	139	16.8	19.27
2013-05-28 17:03:00	138	1	250
2013-05-28 19:21:00	140	17.4	25.85
2013-05-30 00:00:00	135	0	250.1
2013-05-31 10:27:00	121	2.2	250
2013-06-02 04:45:00	120	0.2	250
2013-06-03 23:19:00	123	0	250
2013-06-05 12:36:00	125	16.2	199
2013-06-07 12:09:00	130	17.4	194.7
2013-06-07 14:10:00	101	23.6	8.22
2013-06-08 11:19:00	92	16	71.86
2013-06-08 13:19:00	115	21.2	5.351
2013-06-08 15:20:00	87	27.6	2.741
2013-06-08 18:11:00	101	16.8	4.224
2013-06-08 20:16:00	100	37	14.43
2013-06-10 17:44:00	97	16.2	179.5
2013-06-11 11:16:00	120	16.4	46.5
2013-06-11 13:16:00	105	15.2	7.605
2013-06-11 19:01:00	115	15.8	20.93
2013-06-13 10:48:00	109	15.2	190.2
2013-06-13 14:11:00	133	16.8	19.86
2013-06-13 16:26:00	119	15.4	17.11
2013-06-15 07:48:00	123	0	250.1
2013-06-16 19:24:00	128	1.2	250.1
2013-06-18 15:32:00	123	2	250
2013-06-20 04:58:00	135	16	179.5
2013-06-20 19:37:00	141	17	102.8
2013-06-20 21:51:00	147	15.8	31.82
2013-06-20 23:52:00	129	17.4	16.25
2013-06-21 21:28:00	164	1	250.3
2013-06-22 11:34:00	149	17.8	236.4
2013-06-23 18:24:00	151	8	350.2
2013-06-24 13:33:00	132	16	234.3
2013-06-26 17:15:00	127	1.2	350.1
2013-06-29 06:20:00	123	0.4	350
2013-07-01 13:02:00	114	16	304.5
2013-07-03 09:40:00	120	15.8	299
2013-07-05 16:38:00	126	2	350.1
2013-07-08 05:56:00	120	0	350
2013-07-09 09:06:00	97	15.4	120.7
2013-07-10 12:47:00	102	15.2	89.8
2013-07-10 20:12:00	93	16	25.72
2013-07-11 12:46:00	108	15.8	37
2013-07-11 19:51:00	95	15.4	19.99
2013-07-12 03:05:00	79	16	13.14
2013-07-13 01:00:00	79	16	11.97
2013-07-13 11:50:00	60	16.4	7.957
2013-07-13 14:36:00	73	15.4	0.744
2013-07-13 18:43:00	78	16	1.404
2013-07-14 18:16:00	69	15.4	30.82
2013-07-14 20:31:00	79	15.2	0.848
2013-07-14 23:31:00	90	17	2.963
2013-07-15 02:18:00	82	16	4.717
2013-07-15 12:43:00	79	16.8	15.69
2013-07-15 16:27:00	54	15.2	1.147
2013-07-16 16:23:00	74	16	4.626
2013-07-17 01:56:00	58	15.2	4.047
2013-07-17 04:12:00	73	15.8	0.813
2013-07-17 11:35:00	69	15.4	7.906
2013-07-18 02:55:00	70	16.6	17.71
2013-07-18 04:55:00	41	32.2	0.176
2013-07-18 16:06:00	52	15.4	NA
2013-07-19 02:48:00	57	16	NA
2013-07-19 05:40:00	73	15.4	0.288
2013-07-19 09:15:00	51	16.6	1.582
2013-07-19 11:16:00	30	18	NA
2013-07-19 17:06:00	21	15.2	NA
2013-07-20 00:23:00	40	15.6	NA
2013-07-20 07:01:00	47	15.2	NA
2013-07-20 12:32:00	36	15.8	NA
2013-07-20 19:46:00	45	15.8	NA
2013-07-21 00:11:00	26	15.4	NA
2013-07-21 02:49:00	40	15.2	NA
2013-07-21 12:17:00	41	15.2	0.713
2013-07-21 16:29:00	33	15.6	NA
2013-07-21 18:31:00	46	15.2	NA
2013-07-21 22:26:00	54	15.6	NA
2013-07-22 01:23:00	64	16	0.229
2013-07-22 03:24:00	36	27.4	NA
2013-07-22 09:40:00	56	15.4	NA
2013-07-22 12:21:00	51	15.6	0.917
2013-07-22 15:31:00	48	15.2	NA
2013-07-22 23:11:00	69	16	0.414
2013-07-23 05:53:00	84	15.4	2.575
2013-07-23 07:56:00	72	15.6	1.55
2013-07-23 11:52:00	88	16.4	2.218
2013-07-23 13:52:00	69	17.4	1.415
2013-07-23 16:56:00	58	16.4	1.792
2013-07-23 23:26:00	79	15.4	1.445
2013-07-24 06:37:00	100	17.6	8.21
2013-07-24 08:38:00	87	15.4	6.904
2013-07-24 12:33:00	70	16.4	4.759
2013-07-24 14:36:00	85	15.6	1.671
