"TOA5","CR1000_S_U","CR1000","E4449","CR1000.Std.24","CPU:final_program_2013_05_13_ISCO_S_U.CR1","50413","ISCO"
"TIMESTAMP","RECORD","BottleNo","hNow","dh","volume_stored"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2013-05-14 14:25:00",0,1,79,19.5,"NAN"
"2013-05-16 07:15:00",1,2,92,13.2,864
"2013-05-17 11:17:00",2,3,103,13.2,724.8
"2013-05-19 16:08:00",3,4,121,14,1915
"2013-05-20 00:07:00",4,5,138,13.6,452.4
"2013-05-20 05:55:00",5,6,157,14,463.4
"2013-05-20 10:42:00",6,7,176,14,492.2
"2013-05-20 12:43:00",7,8,209,31.6,295.6
"2013-05-20 14:44:00",8,9,230,21,366.8
"2013-05-20 16:44:00",9,10,259,27.6,445.9
"2013-05-20 18:45:00",10,11,275,16.4,529.7
"2013-05-20 20:48:00",11,12,289,13.6,586.7
"2013-05-21 14:25:00",12,13,268,3.2,5001
"2013-05-22 10:27:00",13,14,247,4,5003
"2013-05-23 11:16:00",14,15,218,2.6,5000
"2013-05-25 00:35:00",15,16,162,3.2,5001
"2013-05-27 13:16:00",16,17,123,1.6,5000
"2013-05-28 17:28:00",17,18,132,15,1572
"2013-05-28 19:28:00",18,19,122,13.4,137.5
"2013-06-02 21:47:00",19,20,95,0,5001
"2013-06-08 18:14:00",20,21,96,13.2,4098
"2013-06-08 20:15:00",21,22,113,16.6,183.5
"2013-06-13 17:27:00",22,23,108,13.6,3783
"2013-06-13 21:13:00",23,24,96,14,148
"2013-06-20 04:56:00",24,25,93,13.2,3295
"2013-06-20 07:06:00",25,26,96,14.2,79.54
"2013-06-20 13:06:00",26,27,91,13.6,223.6
