"TIMESTAMP"	"hNow"	"dh"	"volume_stored"
2013-04-24 14:13:00	117	107.8	92.5
2013-04-24 16:13:00	117	110.4	102.9
2013-04-24 18:14:00	134	92.6	141.8
2013-04-24 20:15:00	134	93	140.1
2013-04-24 22:15:00	134	93	139.3
2013-04-25 00:16:00	134	93	140
2013-04-25 02:17:00	134	93	139.9
2013-04-25 04:17:00	133	94	138
2013-04-25 06:18:00	132	94.2	137.6
2013-04-25 08:19:00	133	92.6	134
2013-04-26 17:04:00	152	15.2	2143
2013-05-02 10:56:00	117	4.6	7999
2013-05-07 09:43:00	120	16	5079
2013-05-14 14:25:00	79	19.5	NA
2013-05-16 07:15:00	92	13.2	864
2013-05-17 11:17:00	103	13.2	724.8
2013-05-19 16:08:00	121	14	1915
2013-05-20 00:07:00	138	13.6	452.4
2013-05-20 05:55:00	157	14	463.4
2013-05-20 10:42:00	176	14	492.2
2013-05-20 12:43:00	209	31.6	295.6
2013-05-20 14:44:00	230	21	366.8
2013-05-20 16:44:00	259	27.6	445.9
2013-05-20 18:45:00	275	16.4	529.7
2013-05-20 20:48:00	289	13.6	586.7
2013-05-21 14:25:00	268	3.2	5001
2013-05-22 10:27:00	247	4	5003
2013-05-23 11:16:00	218	2.6	5000
2013-05-25 00:35:00	162	3.2	5001
2013-05-27 13:16:00	123	1.6	5000
2013-05-28 17:28:00	132	15	1572
2013-05-28 19:28:00	122	13.4	137.5
2013-06-02 21:47:00	95	0	5001
2013-06-08 18:14:00	96	13.2	4098
2013-06-08 20:15:00	113	16.6	183.5
2013-06-13 17:27:00	108	13.6	3783
2013-06-13 21:13:00	96	14	148
2013-06-20 04:56:00	93	13.2	3295
2013-06-20 07:06:00	96	14.2	79.54
2013-06-20 13:06:00	91	13.6	223.6
2013-06-20 20:07:00	146	61	69.29
2013-06-20 22:07:00	133	14.2	166.9
2013-06-21 00:08:00	116	16.8	114.3
2013-06-22 07:41:00	162	0	2501
2013-06-23 10:17:00	147	0.6	2500
2013-06-23 19:17:00	157	13.2	737.6
2013-06-23 22:22:00	144	13.6	273.4
2013-06-25 09:15:00	138	0	2501
2013-06-26 18:35:00	135	0.8	2500
2013-06-28 09:49:00	121	1	2500
2013-06-30 11:41:00	104	3	2500
2013-07-03 13:43:00	95	5.8	2501
2013-07-08 11:06:00	72	1	2500
2013-07-24 06:40:00	66	16	NA
2013-07-24 08:51:00	70	46.6	63.44
2013-07-24 21:19:00	68	14	78.13
2013-07-24 23:36:00	61	17.6	28.98
2013-07-26 09:43:00	75	14	134.1
2013-07-26 11:51:00	66	13.6	35.21
2013-08-09 12:24:00	91	51	NA
2013-08-12 15:39:00	62	13.8	NA
2013-08-12 18:01:00	66	14.4	46.7
2013-08-16 07:26:00	63	16	241.8
2013-08-16 09:27:00	47	22	NA
2013-08-16 21:35:00	63	20	151.7
2013-08-17 00:16:00	43	14.8	32.49
2013-08-19 02:21:00	58	13.2	627
2013-08-24 10:02:00	57	15	1473
